Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Contratos temporales registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadística de Contratos Registrados. Ministerio de Trabajo y Economía Social.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Municipios;1489;Torrejón de Ardoz;47534;45742;34602;23467;17579;21269;21268;17295;14582;19078;24115;34979;37590;38409;33441;21713;28950;19589;
Municipios;1505;Torrejón de Velasco;465;561;602;765;610;544;438;253;267;434;393;266;380;300;414;332;305;124;
Municipios;1492;Torrejón de la Calzada;1697;1854;1943;1214;1056;1007;884;630;724;936;1122;1138;1442;1889;1976;1203;1440;759;
Municipios;1512;Torrelaguna;330;304;369;280;227;256;237;225;263;280;346;341;743;323;591;362;366;388;
Municipios;1527;Torrelodones;2732;3524;3531;4034;4297;5949;6519;5132;5218;5432;5701;6105;7863;8152;7530;3317;3445;2673;
Municipios;1533;Torremocha de Jarama;190;199;231;139;157;132;174;106;117;137;183;141;123;92;126;121;141;103;
Municipios;1548;Torres de la Alameda;1508;1193;1364;1177;900;1106;996;919;1086;1146;1458;1262;1366;1366;1432;1057;1261;719;
Municipios;9036;Tres Cantos;19445;20309;21152;20204;13118;17005;16074;15962;15150;14671;16415;16388;19120;19558;23521;17533;27542;16709;
Municipios;1551;Valdaracete;52;48;66;48;48;55;117;35;65;317;227;69;84;77;74;53;70;52;
Municipios;1564;Valdeavero;136;107;202;101;136;198;99;95;92;127;118;159;123;131;126;114;120;71;
Municipios;1570;Valdelaguna;72;94;113;86;73;69;62;42;96;222;868;693;451;195;31;25;59;45;
Municipios;1586;Valdemanco;56;92;64;41;44;36;43;25;24;51;32;51;52;54;34;32;39;23;
Municipios;1599;Valdemaqueda;71;117;79;60;70;54;54;58;67;63;65;87;55;96;80;79;57;60;
Municipios;1603;Valdemorillo;1302;1292;1343;1189;1108;941;941;892;1118;1228;1154;1334;1761;1500;1709;685;1027;536;
Municipios;1610;Valdemoro;16075;15132;16542;12560;9663;9381;9166;8098;8694;9636;13218;13247;10973;11697;11109;17346;28584;13943;
Municipios;1625;Valdeolmos-Alalpardo;401;292;238;266;347;247;239;260;406;767;388;960;1312;1335;1872;622;1199;987;
Municipios;1631;Valdepiélagos;43;140;94;35;45;22;15;6;14;17;18;19;28;23;25;24;57;53;
Municipios;1646;Valdetorres de Jarama;318;340;265;198;290;290;209;327;257;245;238;290;252;294;269;237;312;311;
Municipios;1659;Valdilecha;295;325;330;186;187;179;190;123;147;255;331;410;683;681;469;277;294;310;
Municipios;1662;Valverde de Alcalá;34;39;75;51;39;31;49;26;27;22;377;110;287;244;60;20;98;303;
Municipios;1678;Velilla de San Antonio;1885;1591;1863;1146;1164;1154;1092;1130;1244;1263;1431;1177;1427;1416;1752;1538;1841;1111;
Municipios;1684;Vellón (El);93;163;127;102;83;91;58;61;46;33;19;33;46;38;54;72;81;49;
Municipios;1697;Venturada;147;277;193;112;98;100;106;111;75;184;150;133;201;169;164;224;353;227;
Municipios;1718;Villa del Prado;708;719;682;691;1014;747;723;865;770;797;863;917;1493;971;908;1052;1239;632;
Municipios;1701;Villaconejos;696;592;591;443;503;484;439;444;448;438;396;361;601;543;510;483;452;248;
Municipios;1723;Villalbilla;1163;1440;1620;1336;1121;1285;1274;1233;1140;1172;1112;1375;1120;1336;1511;1303;1379;771;
Municipios;1739;Villamanrique de Tajo;53;65;52;38;52;110;116;61;37;46;68;190;139;130;408;184;274;69;
Municipios;1744;Villamanta;196;150;112;154;162;133;181;118;144;203;165;188;233;294;289;357;382;182;
Municipios;1757;Villamantilla;167;134;126;187;90;101;108;76;44;83;57;119;101;67;77;59;84;62;
Municipios;1782;Villanueva de Perales;135;117;128;141;176;143;187;167;111;196;130;133;101;111;129;85;125;334;
Municipios;1760;Villanueva de la Cañada;1613;2173;2711;2623;2021;2304;2410;2226;2183;2327;2471;2562;2699;3174;3685;2246;2600;1475;
Municipios;1776;Villanueva del Pardillo;990;1118;1256;1066;927;1211;1071;1001;865;933;1053;1133;1298;1203;1552;1199;1285;782;
Municipios;1795;Villar del Olmo;1247;399;275;289;167;191;193;154;119;150;100;120;113;81;128;106;122;68;
Municipios;1809;Villarejo de Salvanés;1478;1600;1297;1123;895;1233;1655;1679;2435;2819;2816;3743;3834;3092;2976;3059;3631;1014;
Municipios;1816;Villaviciosa de Odón;3279;3859;3986;3551;2690;3191;5142;5777;5930;6304;6042;6210;5629;5469;8840;3554;5545;2394;
Municipios;1821;Villavieja del Lozoya;13;19;9;17;22;18;19;9;22;25;23;17;29;34;40;33;24;35;
Municipios;1837;Zarzalejo;183;158;170;222;189;288;228;85;63;124;130;147;405;270;253;196;147;131;
Notas;
Los contratos se contabilizan en función de la ubicación del municipio donde se sitúa el centro de trabajo.;
