Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados
Municipios;1436;Somosierra;0;0;0;0;0;0;4;4;10;14;10;28.57;71.43;14
Municipios;1441;Soto del Real;0;0;0;38;112;150;183;145;535;680;647;22.05;77.95;830
Municipios;1454;Talamanca de Jarama;4;9;13;19;20;39;69;46;170;216;199;25.75;74.25;268
Municipios;1467;Tielmes;4;33;37;7;35;42;41;30;130;160;198;17.15;82.85;239
Municipios;1473;Titulcia;1;0;1;4;44;48;20;15;92;107;136;12.82;87.18;156
Municipios;1489;Torrejón de Ardoz;3;53;56;1195;8148;9343;3617;2419;13512;15931;21713;14.28;85.72;25330
Municipios;1505;Torrejón de Velasco;1;5;6;10;107;117;63;52;220;272;332;15.95;84.05;395
Municipios;1492;Torrejón de la Calzada;2;2;4;90;316;406;325;233;885;1118;1203;21.27;78.73;1528
Municipios;1512;Torrelaguna;0;4;4;6;73;79;37;31;285;316;362;9.27;90.73;399
Municipios;1527;Torrelodones;1;1;2;48;404;452;845;796;2912;3708;3317;20.30;79.70;4162
Municipios;1533;Torremocha de Jarama;1;3;4;2;5;7;19;16;113;129;121;13.57;86.43;140
Municipios;1548;Torres de la Alameda;2;8;10;80;259;339;197;115;790;905;1057;15.71;84.29;1254
Municipios;9036;Tres Cantos;5;107;112;716;3206;3922;3734;3013;14220;17233;17533;17.56;82.44;21267
Municipios;1551;Valdaracete;1;25;26;1;5;6;5;3;23;26;53;8.62;91.38;58
Municipios;1564;Valdeavero;2;5;7;12;33;45;34;20;76;96;114;22.97;77.03;148
Municipios;1570;Valdelaguna;0;3;3;0;3;3;1;1;19;20;25;3.85;96.15;26
Municipios;1586;Valdemanco;0;0;0;3;7;10;6;3;25;28;32;15.79;84.21;38
Municipios;1599;Valdemaqueda;0;11;11;5;9;14;11;6;59;65;79;12.22;87.78;90
Municipios;1603;Valdemorillo;2;13;15;36;96;132;193;155;576;731;685;21.98;78.02;878
Municipios;1610;Valdemoro;1;28;29;504;2851;3355;2649;2144;14467;16611;17346;13.25;86.75;19995
Municipios;1625;Valdeolmos-Alalpardo;0;17;17;9;429;438;67;58;176;234;622;9.72;90.28;689
Municipios;1631;Valdepiélagos;0;0;0;2;2;4;9;7;22;29;24;27.27;72.73;33
Municipios;1646;Valdetorres de Jarama;2;3;5;8;87;95;48;38;147;185;237;16.84;83.16;285
Municipios;1659;Valdilecha;1;52;53;17;63;80;71;53;162;215;277;20.40;79.60;348
Municipios;1662;Valverde de Alcalá;0;0;0;0;4;4;0;0;16;16;20;0.00;100.00;20
Municipios;1678;Velilla de San Antonio;1;0;1;82;695;777;381;298;843;1141;1538;19.85;80.15;1919
Municipios;1684;Vellón (El);0;9;9;2;14;16;6;4;49;53;72;7.69;92.31;78
Municipios;1697;Venturada;0;0;0;2;23;25;55;53;201;254;224;19.71;80.29;279
Municipios;1718;Villa del Prado;40;176;216;13;153;166;111;58;723;781;1052;9.54;90.46;1163
Municipios;1701;Villaconejos;1;203;204;3;31;34;41;37;249;286;483;7.82;92.18;524
Municipios;1723;Villalbilla;0;1;1;79;573;652;286;207;729;936;1303;18.00;82.00;1589
Municipios;1739;Villamanrique de Tajo;0;74;74;0;17;17;3;3;93;96;184;1.60;98.40;187
Municipios;1744;Villamanta;2;20;22;3;173;176;23;18;164;182;357;6.05;93.95;380
Municipios;1757;Villamantilla;0;4;4;3;18;21;6;3;37;40;59;9.23;90.77;65
Municipios;1782;Villanueva de Perales;0;4;4;5;24;29;21;16;57;73;85;19.81;80.19;106
Municipios;1760;Villanueva de la Cañada;2;21;23;39;342;381;772;731;1883;2614;2246;25.58;74.42;3018
Municipios;1776;Villanueva del Pardillo;0;20;20;91;364;455;415;324;815;1139;1199;25.71;74.29;1614
Municipios;1795;Villar del Olmo;0;12;12;13;31;44;31;18;63;81;106;22.63;77.37;137
Municipios;1809;Villarejo de Salvanés;1;85;86;49;2576;2625;129;79;398;477;3059;4.05;95.95;3188
Municipios;1816;Villaviciosa de Odón;4;25;29;114;480;594;989;871;3049;3920;3554;21.77;78.23;4543
Municipios;1821;Villavieja del Lozoya;0;1;1;1;5;6;1;0;27;27;33;2.94;97.06;34
Municipios;1837;Zarzalejo;0;0;0;7;103;110;19;12;93;105;196;8.84;91.16;215
