Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de los menores de 25 años. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;2.86;6.25;6.90;9.09;7.61;5.75;5.00;3.54;2.78;6.31;1.08;5.56;6.58;4.29;6.76;10.43;7.46;5.19;
Municipios;0783;Madarcos;0.00;0.00;-;-;33.33;0.00;0.00;16.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;
Municipios;0796;Madrid;9.74;9.68;9.78;10.68;9.88;9.43;9.14;7.63;7.08;7.09;7.00;7.02;7.52;7.63;7.33;8.53;6.38;6.88;
Municipios;0800;Majadahonda;6.17;6.08;6.46;6.26;6.28;5.79;6.81;4.86;4.61;5.09;3.98;3.87;5.20;4.85;4.73;6.69;4.22;3.29;
Municipios;0822;Manzanares el Real;6.67;9.76;10.40;11.85;11.79;8.78;7.94;6.76;5.15;6.28;6.02;7.34;6.36;7.66;6.75;7.75;4.15;5.54;
Municipios;0838;Meco;12.88;14.95;15.37;17.95;15.69;16.26;14.66;13.33;11.33;10.93;11.04;7.76;9.06;8.53;8.95;10.22;6.03;8.75;
Municipios;0843;Mejorada del Campo;19.86;16.72;16.83;19.08;16.04;14.80;13.12;11.38;10.09;10.50;9.36;10.03;10.21;10.68;9.19;10.32;7.53;9.65;
Municipios;0856;Miraflores de la Sierra;8.70;11.22;6.13;11.36;9.65;7.98;8.91;6.85;6.70;7.08;5.87;5.09;4.65;6.35;6.40;6.24;3.94;6.74;
Municipios;0869;Molar (El);11.88;9.60;7.02;12.08;13.59;9.52;9.09;7.37;6.94;6.15;5.89;5.70;4.77;4.49;5.73;4.53;6.10;7.63;
Municipios;0875;Molinos (Los);15.57;4.67;11.35;9.57;10.66;13.24;13.14;8.60;9.73;7.69;9.94;11.07;7.63;8.84;7.20;7.77;8.48;4.93;
Municipios;0881;Montejo de la Sierra;33.33;20.00;14.29;20.00;0.00;0.00;0.00;7.14;5.26;5.88;23.53;13.33;0.00;12.50;21.05;9.09;27.27;0.00;
Municipios;0894;Moraleja de Enmedio;17.76;17.12;19.09;20.33;18.30;13.68;14.70;12.90;10.16;9.90;8.03;9.23;10.30;8.78;8.65;9.62;10.98;7.79;
Municipios;0908;Moralzarzal;7.62;8.55;10.49;10.17;9.75;8.71;7.85;5.85;6.92;7.41;4.89;6.82;6.57;6.41;9.44;10.71;6.55;8.96;
Municipios;0915;Morata de Tajuña;13.19;15.38;14.29;16.75;14.52;17.20;14.20;13.65;11.11;11.46;9.20;9.35;7.80;10.33;9.37;8.36;7.18;8.13;
Municipios;0920;Móstoles;14.26;13.47;13.70;14.99;13.14;12.28;11.58;9.94;9.07;8.56;7.81;7.75;7.80;7.91;7.80;9.23;7.49;7.72;
Municipios;0936;Navacerrada;10.31;10.38;10.26;6.57;10.46;9.09;11.11;6.44;4.43;4.71;3.27;8.27;3.96;5.08;5.88;5.59;10.69;3.76;
Municipios;0941;Navalafuente;8.82;7.69;9.84;8.94;10.07;7.87;13.66;9.49;8.63;8.06;6.25;7.76;9.09;3.81;4.50;8.70;6.00;8.49;
Municipios;0954;Navalagamella;3.57;8.70;3.45;11.83;12.00;15.25;11.20;8.20;10.07;9.31;8.29;6.25;7.82;7.27;7.22;3.70;2.87;5.03;
Municipios;0967;Navalcarnero;18.85;14.71;15.30;17.22;13.71;12.86;12.23;11.53;10.18;10.62;8.77;8.52;8.96;8.78;8.00;9.54;9.20;8.90;
Municipios;0973;Navarredonda y San Mamés;0.00;0.00;0.00;0.00;33.33;37.50;14.29;20.00;0.00;10.00;16.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
Municipios;0992;Navas del Rey;13.93;11.50;16.06;15.61;15.79;14.33;12.91;12.76;11.08;14.48;7.76;14.18;12.75;12.16;11.95;11.88;6.67;9.73;
Municipios;1006;Nuevo Baztán;11.85;17.09;14.02;16.47;11.94;11.09;10.09;8.79;8.76;6.24;5.47;6.46;7.85;6.86;10.59;9.46;6.86;7.54;
Municipios;1013;Olmeda de las Fuentes;11.11;16.67;0.00;0.00;5.26;8.33;10.00;4.17;0.00;5.56;5.56;0.00;6.25;0.00;12.50;7.14;0.00;5.00;
Municipios;1028;Orusco de Tajuña;18.87;24.07;13.73;14.44;15.04;11.76;13.94;11.93;11.25;10.85;7.02;9.90;5.15;7.07;7.00;6.56;7.92;12.63;
Municipios;1049;Paracuellos de Jarama;11.42;11.06;10.40;10.74;8.97;7.21;8.04;5.35;4.23;3.59;4.06;5.45;5.19;5.56;5.19;6.21;4.50;6.52;
Municipios;1065;Parla;16.49;15.67;15.18;14.24;12.99;12.11;10.90;9.59;9.20;8.82;8.12;7.44;7.97;9.51;8.53;9.38;7.96;7.90;
Municipios;1071;Patones;23.81;7.14;13.33;20.00;4.00;0.00;9.68;0.00;9.52;13.04;8.82;8.33;4.55;0.00;12.50;8.00;12.50;4.76;
Municipios;1087;Pedrezuela;4.11;11.54;9.38;11.02;9.79;9.62;8.09;7.02;7.01;4.99;5.69;5.22;6.23;5.94;6.19;5.91;4.39;4.35;
Municipios;1090;Pelayos de la Presa;11.54;18.58;13.25;11.01;15.72;12.73;10.53;8.99;8.75;7.22;5.24;8.22;7.61;10.80;11.52;12.46;8.81;5.16;
Municipios;1104;Perales de Tajuña;18.39;7.45;16.22;18.34;13.14;9.86;11.91;11.17;7.69;7.93;8.68;7.22;7.61;5.86;10.43;8.18;5.96;6.32;
Municipios;1111;Pezuela de las Torres;17.39;30.43;13.79;21.05;18.67;18.18;14.44;14.94;13.58;14.75;6.25;6.00;11.36;20.00;10.26;8.77;10.81;5.56;
Municipios;1126;Pinilla del Valle;0.00;6.67;0.00;0.00;12.50;14.29;5.88;0.00;10.53;0.00;0.00;11.11;14.29;0.00;0.00;8.33;0.00;10.00;
Municipios;1132;Pinto;10.10;8.98;11.42;14.16;12.44;12.27;11.49;9.83;9.84;8.33;8.48;7.79;7.37;8.94;8.01;9.05;7.14;8.05;
Municipios;1147;Piñuécar-Gandullas;0.00;0.00;14.29;37.50;36.36;18.18;8.33;6.25;10.00;25.00;18.18;12.50;0.00;28.57;8.33;12.50;25.00;0.00;
Municipios;1150;Pozuelo de Alarcón;6.30;5.88;6.17;6.84;7.52;6.29;5.89;4.13;4.47;3.91;4.11;3.94;3.46;3.81;4.67;5.66;3.55;3.98;
Municipios;1163;Pozuelo del Rey;9.09;20.00;35.14;14.04;17.86;17.98;12.12;10.00;12.28;8.43;3.57;2.94;2.86;3.13;6.33;4.04;5.80;11.69;
Municipios;1179;Prádena del Rincón;0.00;0.00;0.00;14.29;16.67;0.00;0.00;9.09;21.43;0.00;11.11;0.00;0.00;0.00;0.00;0.00;0.00;16.67;
Municipios;1185;Puebla de la Sierra;0.00;0.00;0.00;0.00;11.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
Municipios;9020;Puentes Viejas;13.79;15.79;3.70;3.03;7.84;10.00;16.33;4.35;15.79;11.54;10.64;4.08;12.24;9.30;5.88;7.32;0.00;0.00;
Municipios;1198;Quijorna;7.25;15.87;9.88;15.43;9.55;12.63;10.93;4.61;5.86;4.20;6.60;7.62;9.23;4.49;4.68;7.89;5.79;5.23;
Municipios;1202;Rascafría;9.76;5.00;9.52;13.70;16.10;18.26;13.38;10.16;9.40;6.29;6.03;3.61;7.59;5.33;2.63;9.57;6.67;6.76;
Municipios;1219;Redueña;0.00;14.29;8.33;6.67;0.00;6.67;5.00;20.00;9.52;10.00;7.14;14.29;9.09;0.00;9.09;10.00;0.00;28.57;
Municipios;1224;Ribatejada;22.73;13.64;7.69;16.67;22.81;21.82;17.46;12.12;17.33;9.88;8.33;8.77;5.88;7.14;11.48;11.43;11.29;3.85;
Municipios;1230;Rivas-Vaciamadrid;10.01;11.22;10.70;13.79;11.40;12.60;12.30;10.01;8.99;8.84;7.66;8.37;9.40;9.07;8.27;9.27;7.73;9.04;
Municipios;1245;Robledillo de la Jara;0.00;-;25.00;0.00;50.00;0.00;25.00;30.77;0.00;18.18;14.29;0.00;0.00;0.00;0.00;0.00;0.00;10.00;
Municipios;1258;Robledo de Chavela;9.02;8.33;13.73;15.79;11.00;9.03;10.31;11.00;8.13;9.01;12.12;9.82;6.84;7.88;8.73;16.37;10.06;12.36;
Municipios;1261;Robregordo;-;0.00;0.00;0.00;0.00;0.00;20.00;33.33;20.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;0.00;
