Serie;Codigo_municipio;Nombre;afiliados_30a49_2020;afiliados_30a49_2021;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2020;afiliados_mayores_50_2021;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2020;afiliados_menores_18_2021;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2020;afiliados_menores_30_2021;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2020;afiliados_total_2021;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2020;porcentaje_30a49_2021;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2020;porcentaje_mayores_50_2021;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2020;porcentaje_menores_30_2021;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0493;Coslada;22555;21860;21918;21717;12061;11881;11994;12272;7;3;5;5;5310;4597;4953;5004;39926;38338;38865;38993;56.49;57.02;56.40;55.69;30.21;30.99;30.86;31.47;13.30;11.99;12.74;12.83
Municipios;0506;Cubas de la Sagra;1286;1271;1304;1356;614;674;731;799;1;0;0;2;318;287;310;324;2218;2232;2345;2479;57.98;56.94;55.61;54.70;27.68;30.20;31.17;32.23;14.34;12.86;13.22;13.07
Municipios;0534;Daganzo de Arriba;2303;2211;2142;2082;1395;1506;1673;1819;2;0;0;0;554;529;662;713;4252;4246;4477;4614;54.16;52.07;47.84;45.12;32.81;35.47;37.37;39.42;13.03;12.46;14.79;15.45
Municipios;0549;Escorial (El);3097;3029;3037;3103;2335;2386;2505;2619;0;0;0;1;886;804;876;914;6318;6219;6418;6636;49.02;48.71;47.32;46.76;36.96;38.37;39.03;39.47;14.02;12.93;13.65;13.77
Municipios;0552;Estremera;223;220;224;229;142;133;149;148;0;0;0;0;77;80;83;88;442;433;456;465;50.45;50.81;49.12;49.25;32.13;30.72;32.68;31.83;17.42;18.48;18.20;18.92
Municipios;0565;Fresnedillas de la Oliva;304;299;309;314;182;194;217;231;1;0;0;0;95;77;78;91;581;570;604;636;52.32;52.46;51.16;49.37;31.33;34.04;35.93;36.32;16.35;13.51;12.91;14.31
Municipios;0571;Fresno de Torote;454;435;434;417;196;198;230;291;0;1;2;0;80;83;89;96;730;716;753;804;62.19;60.75;57.64;51.87;26.85;27.65;30.54;36.19;10.96;11.59;11.82;11.94
Municipios;0587;Fuenlabrada;48535;46809;47091;46792;27410;27727;28836;29641;21;7;10;10;13829;12219;13520;13682;89774;86755;89447;90115;54.06;53.96;52.65;51.92;30.53;31.96;32.24;32.89;15.40;14.08;15.12;15.18
Municipios;0590;Fuente el Saz de Jarama;1445;1411;1459;1470;846;889;962;1040;4;2;1;1;432;387;460;474;2723;2687;2881;2984;53.07;52.51;50.64;49.26;31.07;33.09;33.39;34.85;15.86;14.40;15.97;15.88
Municipios;0604;Fuentidueña de Tajo;341;341;345;350;211;209;220;233;0;0;0;0;123;122;121;112;675;672;686;695;50.52;50.74;50.29;50.36;31.26;31.10;32.07;33.53;18.22;18.15;17.64;16.12
