Serie;Codigo_municipio;Nombre;ocupados_primario_2022;ocupados_primario_2023;ocupados_secundario_2022;ocupados_secundario_2023;ocupados_terciario_2022;ocupados_terciario_2023
Municipios;1185;Puebla de la Sierra;1;1;14;12;63;131
Municipios;9020;Puentes Viejas;5;5;77;130;372;595
Municipios;1198;Quijorna;13;14;91;86;993;1100
Municipios;1202;Rascafría;30;34;119;125;1100;1173
Municipios;1219;Redueña;3;2;19;19;373;452
Municipios;1224;Ribatejada;5;6;21;24;363;400
Municipios;1230;Rivas-Vaciamadrid;39;34;6575;6579;56962;57556
Municipios;1245;Robledillo de la Jara;0;0;15;13;87;151
Municipios;1258;Robledo de Chavela;68;71;199;196;1776;1852
Municipios;1261;Robregordo;0;0;14;12;78;118
Municipios;1277;Rozas de Madrid (Las);232;153;6528;6933;104291;109796
Municipios;1283;Rozas de Puerto Real;10;10;24;23;1133;1148
Municipios;1296;San Agustín del Guadalix;16;12;3079;3521;8313;8940
Municipios;1300;San Fernando de Henares;15;14;6720;6749;50215;50006
Municipios;1317;San Lorenzo de El Escorial;47;53;396;423;10015;10767
Municipios;1338;San Martín de Valdeiglesias;26;23;445;445;4677;4647
Municipios;1322;San Martín de la Vega;68;78;2560;2506;10020;10415
Municipios;1343;San Sebastián de los Reyes;179;186;7659;7659;88413;90940
Municipios;1356;Santa María de la Alameda;20;24;144;155;561;810
Municipios;1369;Santorcaz;7;7;30;29;317;396
Municipios;1375;Santos de la Humosa (Los);11;12;91;76;747;744
Municipios;1381;Serna del Monte (La);5;4;2;2;82;147
Municipios;1408;Serranillos del Valle;5;6;498;507;2063;2276
Municipios;1415;Sevilla la Nueva;10;11;425;421;3560;3837
Municipios;1436;Somosierra;3;3;14;12;71;167
Municipios;1441;Soto del Real;13;14;326;283;5290;5514
Municipios;1454;Talamanca de Jarama;17;17;419;407;1295;1441
Municipios;1467;Tielmes;24;24;223;237;1225;1279
Municipios;1473;Titulcia;9;7;76;75;520;655
Municipios;1489;Torrejón de Ardoz;86;97;20996;23198;78356;82019
Municipios;1505;Torrejón de Velasco;35;36;527;532;1766;1862
Municipios;1492;Torrejón de la Calzada;10;10;1491;1419;6033;6162
Municipios;1512;Torrelaguna;20;19;160;186;2427;2660
Municipios;1527;Torrelodones;10;17;509;521;15530;15854
Municipios;1533;Torremocha de Jarama;11;11;75;69;1219;1320
Municipios;1548;Torres de la Alameda;18;20;1589;1625;5513;5618
Municipios;9036;Tres Cantos;86;75;15699;16736;73306;75119
Municipios;1551;Valdaracete;35;31;19;16;224;291
Municipios;1564;Valdeavero;24;25;218;213;650;661
Municipios;1570;Valdelaguna;6;6;57;47;307;289
Municipios;1586;Valdemanco;0;0;67;55;265;311
Municipios;1599;Valdemaqueda;8;9;70;81;270;340
Municipios;1603;Valdemorillo;28;29;670;707;5413;5755
Municipios;1610;Valdemoro;33;37;6945;6873;62634;67692
Municipios;1625;Valdeolmos-Alalpardo;15;13;411;407;2293;2116
Municipios;1631;Valdepiélagos;6;5;68;78;245;294
Municipios;1646;Valdetorres de Jarama;30;31;195;217;1622;1899
Municipios;1659;Valdilecha;34;33;244;253;1254;1219
Municipios;1662;Valverde de Alcalá;4;5;8;9;162;208
Municipios;1678;Velilla de San Antonio;9;8;1657;1609;6072;6270
Municipios;1684;Vellón (El);15;15;62;60;539;693
Municipios;1697;Venturada;4;4;79;92;1979;2084
Municipios;1718;Villa del Prado;209;202;257;284;2414;2454
Municipios;1701;Villaconejos;82;81;202;187;1395;1447
Municipios;1723;Villalbilla;9;8;1295;1415;5222;5512
Municipios;1739;Villamanrique de Tajo;23;21;41;33;348;389
Municipios;1744;Villamanta;43;39;155;161;1135;1249
Municipios;1757;Villamantilla;6;4;96;94;546;548
Municipios;1782;Villanueva de Perales;10;12;64;82;563;665
Municipios;1760;Villanueva de la Cañada;31;35;911;913;15353;15971
Municipios;1776;Villanueva del Pardillo;16;13;722;751;7837;8037
Municipios;1795;Villar del Olmo;6;4;140;167;614;708
Municipios;1809;Villarejo de Salvanés;75;78;2384;2178;3751;3591
Municipios;1816;Villaviciosa de Odón;48;42;1790;1954;20272;21250
Municipios;1821;Villavieja del Lozoya;3;3;12;12;120;160
Municipios;1837;Zarzalejo;14;14;374;354;789;886
