Serie;Codigo_municipio;Nombre;evolucion_paro_registrado_2020;evolucion_paro_registrado_2021;evolucion_paro_registrado_2022;evolucion_paro_registrado_2023;paro_y_44_2020;paro_y_44_2021;paro_y_44_2022;paro_y_44_2023;paro_mayores_25_2020;paro_mayores_25_2021;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2020;paro_mayores_45_2021;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2020;paro_menores_25_2021;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2020;paro_100_habitantes_2021;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2020;paro_registrado_total_2021;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_mayores_25_2020;porcentaje_mayores_25_2021;porcentaje_mayores_25_2022;porcentaje_mayores_25_2023;porcentaje_menores_25_2020;porcentaje_menores_25_2021;porcentaje_menores_25_2022;porcentaje_menores_25_2023;variacion_paro_registrado_2020;variacion_paro_registrado_2021;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0262;Brunete;0.21;0.81;-1.26;;212;250;162;149;475;565;443;421;263;315;281;272;42;37;29;23;4.80;5.61;4.35;;517;602;472;444;91.88;93.85;93.86;94.82;8.12;6.15;6.14;5.18;4.87;16.44;-21.59;-5.93
Municipios;0278;Buitrago del Lozoya;-0.13;2.06;-2.44;;37;69;42;33;81;118;76;87;44;49;34;54;11;13;8;5;4.70;6.75;4.31;;92;131;84;92;88.04;90.08;90.48;94.57;11.96;9.92;9.52;5.43;1.10;42.39;-35.88;9.52
Municipios;0284;Bustarviejo;-0.13;0.51;-0.90;;61;68;53;60;150;174;148;147;89;106;95;87;7;8;10;7;6.23;6.74;5.84;;157;182;158;154;95.54;95.60;93.67;95.45;4.46;4.40;6.33;4.55;-1.26;15.92;-13.19;-2.53
Municipios;0297;Cabanillas de la Sierra;-1.19;2.41;-1.39;;8;13;11;9;27;45;39;35;19;32;28;26;0;4;0;1;3.44;5.85;4.46;;27;49;39;36;100.00;91.84;100.00;97.22;0.00;8.16;0.00;2.78;-22.86;81.48;-20.41;-7.69
Municipios;0301;Cabrera (La);1.43;0.42;-1.74;;81;81;58;51;178;190;156;163;97;109;98;112;20;23;10;5;7.24;7.66;5.92;;198;213;166;168;89.90;89.20;93.98;97.02;10.10;10.80;6.02;2.98;27.74;7.58;-22.07;1.20
Municipios;0318;Cadalso de los Vidrios;0.11;0.61;-1.13;;118;119;131;89;266;292;267;221;148;173;136;132;35;44;32;24;9.88;10.49;9.36;;301;336;299;245;88.37;86.90;89.30;90.20;11.63;13.10;10.70;9.80;1.35;11.63;-11.01;-18.06
Municipios;0323;Camarma de Esteruelas;0.22;0.70;-1.41;;199;228;159;136;460;510;421;395;261;282;262;259;42;53;38;33;6.75;7.45;6.04;;502;563;459;428;91.63;90.59;91.72;92.29;8.37;9.41;8.28;7.71;4.80;12.15;-18.47;-6.75
Municipios;0339;Campo Real;-0.63;1.11;-0.77;;182;222;189;145;391;453;425;365;209;231;236;220;32;41;36;20;6.59;7.70;6.93;;423;494;461;385;92.43;91.70;92.19;94.81;7.57;8.30;7.81;5.19;-5.58;16.78;-6.68;-16.49
Municipios;0344;Canencia;0.22;0.89;-1.88;;6;6;5;4;27;27;23;21;21;21;18;17;1;6;1;2;6.26;7.16;5.27;;28;33;24;23;96.43;81.82;95.83;91.30;3.57;18.18;4.17;8.70;3.70;17.86;-27.27;-4.17
Municipios;0357;Carabaña;-0.20;0.50;-0.69;;57;65;54;45;138;152;137;127;81;87;83;82;10;11;16;14;7.11;7.61;6.92;;148;163;153;141;93.24;93.25;89.54;90.07;6.76;6.75;10.46;9.93;0.68;10.14;-6.13;-7.84
Municipios;0360;Casarrubuelos;0.18;0.79;-1.05;;96;110;93;60;220;241;214;178;124;131;121;118;14;30;17;19;6.09;6.88;5.83;;234;271;231;197;94.02;88.93;92.64;90.36;5.98;11.07;7.36;9.64;4.93;15.81;-14.76;-14.72
Municipios;0376;Cenicientos;-0.32;-0.02;-0.89;;76;83;78;68;169;182;166;142;93;99;88;74;29;20;18;18;9.72;9.70;8.81;;198;202;184;160;85.35;90.10;90.22;88.75;14.65;9.90;9.78;11.25;-2.94;2.02;-8.91;-13.04
Municipios;0382;Cercedilla;0.21;0.75;-0.80;;160;188;155;131;342;397;348;322;182;209;193;191;20;28;27;33;5.02;5.78;4.98;;362;425;375;355;94.48;93.41;92.80;90.70;5.52;6.59;7.20;9.30;7.10;17.40;-11.76;-5.33
Municipios;0395;Cervera de Buitrago;0.89;2.04;-1.09;;4;5;4;1;9;12;11;11;5;7;7;10;0;0;0;2;5.56;7.59;6.51;;9;12;11;13;100.00;100.00;100.00;84.62;0.00;0.00;0.00;15.38;28.57;33.33;-8.33;18.18
Municipios;0513;Chapinería;1.33;-0.06;-2.25;;62;66;46;55;168;169;137;137;106;103;91;82;27;31;8;10;8.08;8.02;5.77;;195;200;145;147;86.15;84.50;94.48;93.20;13.85;15.50;5.52;6.80;24.20;2.56;-27.50;1.38
Municipios;0528;Chinchón;-0.44;0.61;-1.19;;147;158;137;122;347;376;328;318;200;218;191;196;21;32;24;23;6.80;7.41;6.22;;368;408;352;341;94.29;92.16;93.18;93.26;5.71;7.84;6.82;6.74;-4.66;10.87;-13.73;-3.13
Municipios;0409;Ciempozuelos;0.28;1.46;-1.89;;759;963;678;591;1543;1851;1458;1315;784;888;780;724;159;217;155;167;6.78;8.24;6.35;;1702;2068;1613;1482;90.66;89.51;90.39;88.73;9.34;10.49;9.61;11.27;6.44;21.50;-22.00;-8.12
Municipios;0416;Cobeña;-0.28;1.03;-0.93;;75;118;80;77;223;296;238;234;148;178;158;157;15;17;9;12;3.18;4.20;3.27;;238;313;247;246;93.70;94.57;96.36;95.12;6.30;5.43;3.64;4.88;-7.39;31.51;-21.09;-0.40
Municipios;0468;Collado Mediano;0.13;0.97;-1.47;;161;196;137;109;412;489;400;354;251;293;263;245;25;34;21;26;6.15;7.12;5.65;;437;523;421;380;94.28;93.50;95.01;93.16;5.72;6.50;4.99;6.84;4.30;19.68;-19.50;-9.74
Municipios;0474;Collado Villalba;0.27;1.05;-1.64;;1675;1961;1406;1308;3882;4394;3553;3299;2207;2433;2147;1991;317;441;261;271;6.52;7.58;5.93;;4199;4835;3814;3570;92.45;90.88;93.16;92.41;7.55;9.12;6.84;7.59;5.45;15.15;-21.12;-6.40
Municipios;0455;Colmenar Viejo;-0.07;0.78;-1.33;;1107;1241;920;829;2361;2725;2207;2045;1254;1484;1287;1216;211;285;147;137;4.95;5.74;4.41;;2572;3010;2354;2182;91.80;90.53;93.76;93.72;8.20;9.47;6.24;6.28;0.98;17.03;-21.79;-7.31
Municipios;0437;Colmenar de Oreja;0.60;0.45;-1.52;;258;272;215;195;577;635;540;495;319;363;325;300;66;57;37;42;7.89;8.33;6.82;;643;692;577;537;89.74;91.76;93.59;92.18;10.26;8.24;6.41;7.82;9.91;7.62;-16.62;-6.93
Municipios;0421;Colmenar del Arroyo;-0.45;-0.52;0.13;;48;39;38;34;110;95;113;100;62;56;75;66;4;15;3;7;6.39;5.87;5.99;;114;110;116;107;96.49;86.36;97.41;93.46;3.51;13.64;2.59;6.54;-3.39;-3.51;5.45;-7.76
Municipios;0442;Colmenarejo;0.42;1.01;-1.32;;209;247;172;152;465;553;455;420;256;306;283;268;32;47;26;24;5.38;6.40;5.08;;497;600;481;444;93.56;92.17;94.59;94.59;6.44;7.83;5.41;5.41;9.71;20.72;-19.83;-7.69
Municipios;0480;Corpa;-0.09;2.13;-1.16;;27;32;24;18;44;57;51;42;17;25;27;24;1;5;4;0;6.22;8.36;7.20;;45;62;55;42;97.78;91.94;92.73;100.00;2.22;8.06;7.27;0.00;0.00;37.78;-11.29;-23.64
Municipios;0493;Coslada;0.15;1.24;-1.48;;1793;2252;1579;1395;4255;5096;4011;3680;2462;2844;2432;2285;305;466;312;254;5.60;6.84;5.36;;4560;5562;4323;3934;93.31;91.62;92.78;93.54;6.69;8.38;7.22;6.46;2.49;21.97;-22.28;-9.00
