Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0506;Cubas de la Sagra;1.29;1.72;518.76;527.67;37.81;38.41;40.06;41.75;20.67;21.80;10.48;11.21;5.27;5.52;2.36;2.48;21.23;20.36;33.62;33.14;41.66;40.81;59.94;58.25
Municipios;0534;Daganzo de Arriba;1.00;-0.30;244.77;244.04;37.85;38.36;44.10;45.33;20.16;21.51;8.36;8.57;3.50;3.57;1.22;1.24;19.22;18.09;34.01;33.68;41.71;41.40;55.90;54.67
Municipios;0549;Escorial (El);0.31;1.46;243.14;246.70;44.08;44.39;51.57;52.10;35.10;36.05;18.75;19.51;8.58;8.94;2.89;2.99;13.45;13.29;24.45;24.51;34.92;34.68;48.43;47.90
Municipios;0552;Estremera;2.10;2.91;17.78;18.30;46.42;46.56;53.55;53.69;37.07;37.06;23.51;23.81;13.49;13.53;6.82;6.56;13.21;12.97;22.30;22.50;32.46;32.37;46.45;46.31
Municipios;0565;Fresnedillas de la Oliva;2.77;1.01;62.67;63.30;39.82;40.15;42.73;43.64;26.45;27.63;13.08;13.79;5.95;6.39;1.91;1.83;18.53;18.45;29.81;29.52;40.48;39.86;57.27;56.36
Municipios;0571;Fresno de Torote;1.08;2.87;76.71;78.92;40.45;40.60;45.20;45.93;24.73;25.28;14.44;14.35;6.81;7.10;1.68;1.59;18.25;17.98;28.42;28.71;37.74;37.28;54.80;54.07
Municipios;0587;Fuenlabrada;-1.24;-0.49;4851.19;4827.52;41.99;42.46;47.22;48.22;30.76;31.85;15.98;17.21;4.76;5.08;1.37;1.37;14.27;13.84;25.69;25.54;36.97;36.46;52.78;51.78
Municipios;0590;Fuente el Saz de Jarama;2.42;3.21;212.06;218.87;41.18;41.32;45.92;46.27;27.99;28.43;14.47;14.55;6.43;6.50;2.32;2.18;15.60;14.99;27.99;27.62;38.63;38.64;54.08;53.73
Municipios;0604;Fuentidueña de Tajo;1.17;0.49;37.34;37.52;44.02;44.34;49.71;50.80;33.88;34.96;19.08;20.04;8.36;8.63;3.25;3.32;13.69;13.58;22.85;23.27;34.55;34.34;50.29;49.20
Municipios;0611;Galapagar;0.60;1.26;534.33;541.05;41.22;41.50;46.84;47.54;29.53;30.29;14.22;14.60;6.29;6.48;2.01;2.04;15.53;15.22;28.23;27.85;39.55;39.40;53.16;52.46
