Serie;Codigo_municipio;Nombre;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos
Municipios;1343;San Sebastián de los Reyes;19;2;7;1652.61;0.05;13.60
Municipios;1356;Santa María de la Alameda;38;1;38;3263.19;0.02;3263.17
Municipios;1369;Santorcaz;43;2;4;1672.44;0.07;184.46
Municipios;1375;Santos de la Humosa (Los);22;1;4;2633.52;0.03;855.98
Municipios;1381;Serna del Monte (La);4;0;4;284.53;0.00;284.53
Municipios;1408;Serranillos del Valle;10;1;1;672.64;0.04;34.26
Municipios;1415;Sevilla la Nueva;8;1;3;966.14;0.04;3.11
Municipios;1436;Somosierra;11;0;11;323.05;0.00;320.29
Municipios;1441;Soto del Real;23;0;23;1887.35;0.00;1886.57
Municipios;1454;Talamanca de Jarama;49;1;5;2254.39;0.03;84.98
Municipios;1467;Tielmes;74;1;2;981.67;0.03;59.25
Municipios;1473;Titulcia;18;0;1;397.76;0.00;14.06
Municipios;1489;Torrejón de Ardoz;7;2;2;1220.68;0.04;27.71
Municipios;1505;Torrejón de Velasco;78;5;5;3521.11;0.17;2.51
Municipios;1492;Torrejón de la Calzada;5;0;2;310.63;0.00;21.46
Municipios;1512;Torrelaguna;55;1;9;1817.16;0.01;240.16
Municipios;1527;Torrelodones;0;0;0;0;0;0
Municipios;1533;Torremocha de Jarama;56;2;6;1246.47;0.06;44.84
Municipios;1548;Torres de la Alameda;36;1;0;2545.16;0.03;0.00
Municipios;9036;Tres Cantos;21;0;20;1155.06;0.00;1123.72
Municipios;1551;Valdaracete;125;6;8;2764.78;0.20;10.91
Municipios;1564;Valdeavero;13;1;1;1671.09;0.04;25.10
Municipios;1570;Valdelaguna;84;10;7;829.26;0.43;47.70
Municipios;1586;Valdemanco;4;1;4;38.14;0.03;37.55
Municipios;1599;Valdemaqueda;0;0;0;0;0;0
Municipios;1603;Valdemorillo;45;6;39;2140.73;0.15;2082.12
Municipios;1610;Valdemoro;19;1;4;1111.69;0.03;114.38
Municipios;1625;Valdeolmos0Alalpardo;22;0;5;2190.06;0.00;88.95
Municipios;1631;Valdepiélagos;13;1;1;1357.81;0.03;156.87
Municipios;1646;Valdetorres de Jarama;27;2;7;2211.95;0.04;30.80
Municipios;1659;Valdilecha;155;9;10;4053.24;0.26;759.13
Municipios;1662;Valverde de Alcalá;12;0;2;416.47;0.00;6.52
Municipios;1678;Velilla de San Antonio;7;1;1;484.34;0.02;0.02
Municipios;1684;Vellón (El);30;5;17;1484.73;0.18;736.20
Municipios;1697;Venturada;12;1;6;466.24;0.01;321.81
Municipios;1718;Villa del Prado;266;22;23;3747.97;0.59;1607.32
Municipios;1701;Villaconejos;106;3;2;2981.21;0.08;465.80
Municipios;1723;Villalbilla;25;2;2;1902.76;0.07;125.11
Municipios;1739;Villamanrique de Tajo;33;0;3;2305.11;0.00;54.38
Municipios;1744;Villamanta;62;8;15;2618.04;0.23;1149.44
Municipios;1757;Villamantilla;7;1;5;1240.30;0.01;438.36
Municipios;1782;Villanueva de Perales;6;0;4;2863.48;0.00;934.13
Municipios;1760;Villanueva de la Cañada;6;1;2;533.00;0.02;10.16
Municipios;1776;Villanueva del Pardillo;12;0;5;1614.88;0.00;509.31
Municipios;1795;Villar del Olmo;24;3;5;730.66;0.11;17.16
Municipios;1809;Villarejo de Salvanés;472;9;21;6408.43;0.27;615.77
Municipios;1816;Villaviciosa de Odón;31;8;10;1047.89;0.27;60.16
Municipios;1821;Villavieja del Lozoya;8;0;8;696.08;0.00;689.90
Municipios;1837;Zarzalejo;14;3;14;577.01;0.08;567.00
