Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos_2022;contratos_primario_indefinidos_2023;contratos_primario_temp_2022;contratos_primario_temp_2023;contratos_primario_total_2022;contratos_primario_total_2023;contratos_secundario_indefinidos_2022;contratos_secundario_indefinidos_2023;contratos_secundario_temp_2022;contratos_secundario_temp_2023;contratos_secundario_total_2022;contratos_secundario_total_2023;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_terciario_indefinidos_2022;contratos_terciario_indefinidos_2023;contratos_terciario_temp_2022;contratos_terciario_temp_2023;contratos_terciario_total_2022;contratos_terciario_total_2023;contratos_temp_2022;contratos_temp_2023;contratos_porcentaje_indefinidos_2022;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2022;contratos_porcentaje_temp_2023;contratos_total_registrados_2022;contratos_total_registrados_2023
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;0;0;0;0;0;1;0;1;52;24;52;24;59;41;111;65;59;42;46.85;36.36;53.15;63.64;111;66
Municipios;0647;Gascones;0;0;0;0;0;0;4;4;4;4;8;8;36;21;32;17;10;23;42;40;14;27;72.00;43.75;28.00;56.25;50;48
Municipios;0650;Getafe;24;63;77;48;101;111;6598;5973;7267;4427;13865;10400;25722;27407;19100;21371;45469;35736;64569;57107;52813;40211;32.75;40.53;67.25;59.47;78535;67618
Municipios;0663;Griñón;37;99;6;9;43;108;747;754;570;469;1317;1223;2026;1926;1242;1073;724;685;1966;1758;1300;1163;60.91;62.35;39.09;37.65;3326;3089
Municipios;0679;Guadalix de la Sierra;7;11;20;5;27;16;66;69;91;66;157;135;354;383;281;303;649;316;930;619;760;387;31.78;49.74;68.22;50.26;1114;770
Municipios;0685;Guadarrama;0;4;0;2;0;6;161;148;70;44;231;192;1346;1001;1185;849;1859;1836;3044;2685;1929;1882;41.10;34.72;58.90;65.28;3275;2883
Municipios;0698;Hiruela (La);0;0;0;0;0;0;1;3;0;0;1;3;23;20;22;17;28;15;50;32;28;15;45.10;57.14;54.90;42.86;51;35
Municipios;0702;Horcajo de la Sierra-Aoslos;0;4;0;1;0;5;8;8;2;0;10;8;37;38;29;26;36;33;65;59;38;34;49.33;52.78;50.67;47.22;75;72
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;89;0;128;0;217;0;99;25;10;25;45;25;55;50;173;25;36.40;50.00;63.60;50.00;272;50
Municipios;0724;Hoyo de Manzanares;3;1;16;7;19;8;41;43;17;4;58;47;416;299;372;255;739;236;1111;491;772;247;35.02;54.76;64.98;45.24;1188;546
Municipios;0730;Humanes de Madrid;3;3;3;33;6;36;1773;1766;994;635;2767;2401;3631;3506;1855;1737;2159;1242;4014;2979;3156;1910;53.50;64.73;46.50;35.27;6787;5416
Municipios;0745;Leganés;315;19;317;307;632;326;3485;3924;2252;1470;5737;5394;17459;17080;13659;13137;15971;16497;29630;29634;18540;18274;48.50;48.31;51.50;51.69;35999;35354
Municipios;0758;Loeches;0;0;0;0;0;0;688;580;1089;461;1777;1041;1328;1137;640;557;505;551;1145;1108;1594;1012;45.45;52.91;54.55;47.09;2922;2149
Municipios;0761;Lozoya;0;0;0;0;0;0;6;5;14;18;20;23;94;69;88;64;355;352;443;416;369;370;20.30;15.72;79.70;84.28;463;439
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;2;5;0;0;2;5;27;28;11;1;38;29;149;164;120;131;245;211;365;342;256;212;36.79;43.62;63.21;56.38;405;376
Municipios;0783;Madarcos;0;0;0;0;0;0;50;53;12;12;62;65;280;262;230;209;203;238;433;447;215;250;56.57;51.17;43.43;48.83;495;512
Municipios;0796;Madrid;1534;1603;2602;1478;4136;3081;72326;74090;46660;32251;118986;106341;699901;666176;626041;590483;798088;657690;1424129;1248173;847350;691419;45.24;49.07;54.76;50.93;1547251;1357595
Municipios;0800;Majadahonda;4;14;63;31;67;45;752;521;483;293;1235;814;9458;8588;8702;8053;7792;7392;16494;15445;8338;7716;53.15;52.67;46.85;47.33;17796;16304
Municipios;0822;Manzanares el Real;0;3;1;1;1;4;42;39;29;16;71;55;246;286;204;244;370;345;574;589;400;362;38.08;44.14;61.92;55.86;646;648
Municipios;0838;Meco;5;7;5;5;10;12;644;920;1632;853;2276;1773;2207;2550;1558;1623;6371;7762;7929;9385;8008;8620;21.61;22.83;78.39;77.17;10215;11170
Municipios;0843;Mejorada del Campo;0;0;0;0;0;0;600;719;416;204;1016;923;1696;1884;1096;1165;1434;1053;2530;2218;1850;1257;47.83;59.98;52.17;40.02;3546;3141
Municipios;0856;Miraflores de la Sierra;4;9;0;4;4;13;29;23;22;4;51;27;224;240;191;208;367;461;558;669;389;469;36.54;33.85;63.46;66.15;613;709
Municipios;0869;Molar (El);4;8;0;0;4;8;126;73;45;18;171;91;457;408;327;327;258;509;585;836;303;527;60.13;43.64;39.87;56.36;760;935
Municipios;0875;Molinos (Los);4;2;1;0;5;2;18;28;12;5;30;33;187;223;165;193;136;113;301;306;149;118;55.65;65.40;44.35;34.60;336;341
Municipios;0881;Montejo de la Sierra;0;0;0;0;0;0;1;1;2;1;3;2;30;50;29;49;105;66;134;115;107;67;21.90;42.74;78.10;57.26;137;117
Municipios;0894;Moraleja de Enmedio;0;1;1;0;1;1;287;313;253;147;540;460;636;615;349;301;241;151;590;452;495;298;56.23;67.36;43.77;32.64;1131;913
Municipios;0908;Moralzarzal;2;6;4;7;6;13;150;128;35;24;185;152;1027;920;875;786;468;336;1343;1122;507;367;66.95;71.48;33.05;28.52;1534;1287
Municipios;0915;Morata de Tajuña;8;6;42;66;50;72;131;125;93;58;224;183;371;289;232;158;258;292;490;450;393;416;48.56;40.99;51.44;59.01;764;705
Municipios;0920;Móstoles;4;21;13;2;17;23;2370;2136;2425;1534;4795;3670;11440;10437;9066;8280;9530;7556;18596;15836;11968;9092;48.87;53.44;51.13;46.56;23408;19529
Municipios;0936;Navacerrada;0;0;2;4;2;4;21;34;16;22;37;56;237;252;216;218;288;113;504;331;306;139;43.65;64.45;56.35;35.55;543;391
Municipios;0941;Navalafuente;6;5;0;0;6;5;14;6;8;2;22;8;58;70;38;59;65;50;103;109;73;52;44.27;57.38;55.73;42.62;131;122
Municipios;0954;Navalagamella;3;3;15;61;18;64;9;15;11;7;20;22;71;95;59;77;77;68;136;145;103;136;40.80;41.13;59.20;58.87;174;231
Municipios;0967;Navalcarnero;58;23;18;11;76;34;454;500;308;207;762;707;2712;2226;2200;1703;1755;1775;3955;3478;2081;1993;56.58;52.76;43.42;47.24;4793;4219
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;0;0;1;2;4;0;5;2;26;55;25;53;54;129;79;182;58;129;30.95;29.89;69.05;70.11;84;184
Municipios;0992;Navas del Rey;1;1;1;0;2;1;26;25;7;6;33;31;167;138;140;112;98;159;238;271;106;165;61.17;45.54;38.83;54.46;273;303
Municipios;1006;Nuevo Baztán;0;0;0;0;0;0;91;100;25;51;116;151;414;381;323;281;181;166;504;447;206;217;66.77;63.71;33.23;36.29;620;598
Municipios;1013;Olmeda de las Fuentes;3;3;7;1;10;4;5;3;3;5;8;8;18;17;10;11;16;15;26;26;26;21;40.91;44.74;59.09;55.26;44;38
Municipios;1028;Orusco de Tajuña;1;3;0;0;1;3;3;9;9;7;12;16;27;29;23;17;61;54;84;71;70;61;27.84;32.22;72.16;67.78;97;90
Municipios;1049;Paracuellos de Jarama;7;5;1;2;8;7;582;530;1086;202;1668;732;1965;1856;1376;1321;1245;1027;2621;2348;2332;1231;45.73;60.12;54.27;39.88;4297;3087
Municipios;1065;Parla;14;16;9;8;23;24;1376;1551;876;561;2252;2112;6101;5832;4711;4265;9165;4852;13876;9117;10050;5421;37.77;51.83;62.23;48.17;16151;11253
Municipios;1071;Patones;0;0;0;0;0;0;3;0;1;1;4;1;49;35;46;35;66;74;112;109;67;75;42.24;31.82;57.76;68.18;116;110
Municipios;1087;Pedrezuela;1;0;0;0;1;0;61;67;18;27;79;94;311;315;249;248;214;158;463;406;232;185;57.27;63.00;42.73;37.00;543;500
Municipios;1090;Pelayos de la Presa;0;13;1;0;1;13;54;54;47;24;101;78;247;171;193;104;178;152;371;256;226;176;52.22;49.28;47.78;50.72;473;347
Municipios;1104;Perales de Tajuña;8;2;1;3;9;5;24;33;16;9;40;42;199;195;167;160;177;103;344;263;194;115;50.64;62.90;49.36;37.10;393;310
Municipios;1111;Pezuela de las Torres;8;2;8;10;16;12;0;1;1;1;1;2;34;34;26;31;66;92;92;123;75;103;31.19;24.82;68.81;75.18;109;137
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;3;2;5;2;8;14;14;14;11;23;19;37;30;25;24;35.90;36.84;64.10;63.16;39;38
Municipios;1132;Pinto;5;4;23;28;28;32;1666;1671;2330;1500;3996;3171;6917;6491;5246;4816;9992;7154;15238;11970;12345;8682;35.91;42.78;64.09;57.22;19262;15173
Municipios;1147;Piñuécar-Gandullas;0;1;0;0;0;1;0;0;1;0;1;0;2;6;2;5;18;7;20;12;19;7;9.52;46.15;90.48;53.85;21;13
Municipios;1150;Pozuelo de Alarcón;39;10;41;24;80;34;1174;1195;530;308;1704;1503;17062;15240;15849;14035;21007;17819;36856;31854;21578;18151;44.16;45.64;55.84;54.36;38640;33391
Municipios;1163;Pozuelo del Rey;2;0;0;0;2;0;24;26;14;0;38;26;72;54;46;28;40;29;86;57;54;29;57.14;65.06;42.86;34.94;126;83
Municipios;1179;Prádena del Rincón;1;0;0;0;1;0;0;0;0;1;0;1;3;11;2;11;24;13;26;24;24;14;11.11;44.00;88.89;56.00;27;25
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0;0;0;1;0;1;0;1;4;1;4;7;13;8;17;8;13;11.11;23.53;88.89;76.47;9;17
Municipios;9020;Puentes Viejas;0;0;0;0;0;0;13;2;7;1;20;3;41;16;28;14;47;10;75;24;54;11;43.16;59.26;56.84;40.74;95;27
Municipios;1198;Quijorna;3;1;7;2;10;3;16;26;16;3;32;29;111;97;92;70;249;115;341;185;272;120;28.98;44.70;71.02;55.30;383;217
Municipios;1202;Rascafría;0;1;1;0;1;1;25;15;18;6;43;21;153;126;128;110;129;177;257;287;148;183;50.83;40.78;49.17;59.22;301;309
Municipios;1219;Redueña;0;0;0;0;0;0;0;1;0;1;0;2;14;17;14;16;28;24;42;40;28;25;33.33;40.48;66.67;59.52;42;42
Municipios;1224;Ribatejada;0;0;1;0;1;0;21;3;59;17;80;20;38;22;17;19;25;97;42;116;85;114;30.89;16.18;69.11;83.82;123;136
Municipios;1230;Rivas-Vaciamadrid;8;11;8;0;16;11;1549;1728;1016;359;2565;2087;9508;9455;7951;7716;9076;6382;17027;14098;10100;6741;48.49;58.38;51.51;41.62;19608;16196
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;0;0;0;3;10;3;10;21;13;24;23;21;13;12.50;43.48;87.50;56.52;24;23
Municipios;1258;Robledo de Chavela;18;5;10;14;28;19;50;77;101;109;151;186;212;292;144;210;281;195;425;405;392;318;35.10;47.87;64.90;52.13;604;610
Municipios;1261;Robregordo;0;0;0;0;0;0;1;0;0;0;1;0;2;1;1;1;9;9;10;10;9;9;18.18;10.00;81.82;90.00;11;10
Municipios;1277;Rozas de Madrid (Las);46;43;32;11;78;54;1503;1454;525;370;2028;1824;18107;16329;16558;14832;13053;9047;29611;23879;13610;9428;57.09;63.40;42.91;36.60;31717;25757
Municipios;1283;Rozas de Puerto Real;0;0;1;0;1;0;6;4;7;4;13;8;60;45;54;41;78;47;132;88;86;51;41.10;46.88;58.90;53.13;146;96
Municipios;1296;San Agustín del Guadalix;2;2;3;2;5;4;469;472;1662;833;2131;1305;1349;1204;878;730;975;625;1853;1355;2640;1460;33.82;45.20;66.18;54.80;3989;2664
Municipios;1300;San Fernando de Henares;1;0;0;1;1;1;1638;2007;1275;1301;2913;3308;6604;6602;4965;4595;8803;7294;13768;11889;10078;8596;39.59;43.44;60.41;56.56;16682;15198
Municipios;1317;San Lorenzo de El Escorial;3;2;1;1;4;3;110;90;57;30;167;120;1472;1054;1359;962;2811;1708;4170;2670;2869;1739;33.91;37.74;66.09;62.26;4341;2793
