Serie;Codigo_municipio;Nombre;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0856;Miraflores de la Sierra;1256;1262;926;998;1;1;321;328;2503;2588;50.18;48.76;37.00;38.56;12.82;12.67
Municipios;0869;Molar (El);1958;1970;1079;1182;2;1;473;491;3510;3643;55.78;54.08;30.74;32.45;13.48;13.48
Municipios;0875;Molinos (Los);852;889;707;710;0;0;277;294;1836;1893;46.41;46.96;38.51;37.51;15.09;15.53
Municipios;0881;Montejo de la Sierra;38;35;49;50;0;0;19;25;106;110;35.85;31.82;46.23;45.45;17.92;22.73
Municipios;0894;Moraleja de Enmedio;1154;1163;727;769;2;2;388;402;2269;2334;50.86;49.83;32.04;32.95;17.10;17.22
Municipios;0908;Moralzarzal;2419;2384;2043;2212;0;0;738;824;5200;5420;46.52;43.99;39.29;40.81;14.19;15.20
Municipios;0915;Morata de Tajuña;1739;1717;876;967;1;0;440;459;3055;3143;56.92;54.63;28.67;30.77;14.40;14.60
Municipios;0920;Móstoles;51592;51724;26296;27298;11;8;12059;12493;89947;91515;57.36;56.52;29.23;29.83;13.41;13.65
Municipios;0936;Navacerrada;568;579;451;471;0;1;124;145;1143;1195;49.69;48.45;39.46;39.41;10.85;12.13
Municipios;0941;Navalafuente;303;307;188;204;0;0;79;95;570;606;53.16;50.66;32.98;33.66;13.86;15.68
Municipios;0954;Navalagamella;494;500;319;369;0;0;151;144;964;1013;51.24;49.36;33.09;36.43;15.66;14.22
Municipios;0967;Navalcarnero;6468;6678;3396;3664;0;2;1697;1805;11561;12147;55.95;54.98;29.37;30.16;14.68;14.86
Municipios;0973;Navarredonda y San Mamés;14;14;22;19;0;0;5;5;41;38;34.15;36.84;53.66;50.00;12.20;13.16
Municipios;0992;Navas del Rey;556;558;291;319;0;0;156;165;1003;1042;55.43;53.55;29.01;30.61;15.55;15.83
Municipios;1006;Nuevo Baztán;1060;1072;945;1012;0;1;361;388;2366;2472;44.80;43.37;39.94;40.94;15.26;15.70
Municipios;1013;Olmeda de las Fuentes;78;71;52;51;0;0;11;12;141;134;55.32;52.99;36.88;38.06;7.80;8.96
Municipios;1028;Orusco de Tajuña;234;234;133;156;0;0;66;63;433;453;54.04;51.66;30.72;34.44;15.24;13.91
Municipios;1049;Paracuellos de Jarama;5942;5821;3111;3487;1;1;1031;1184;10084;10492;58.93;55.48;30.85;33.23;10.22;11.28
Municipios;1065;Parla;31290;31614;13730;14867;5;6;7796;8132;52816;54613;59.24;57.89;26.00;27.22;14.76;14.89
Municipios;1071;Patones;83;83;58;62;0;0;14;12;155;157;53.55;52.87;37.42;39.49;9.03;7.64
Municipios;1087;Pedrezuela;1281;1304;750;820;1;1;261;306;2292;2430;55.89;53.66;32.72;33.74;11.39;12.59
Municipios;1090;Pelayos de la Presa;423;453;281;299;1;0;142;141;846;893;50.00;50.73;33.22;33.48;16.78;15.79
Municipios;1104;Perales de Tajuña;590;566;370;399;0;0;172;178;1132;1143;52.12;49.52;32.69;34.91;15.19;15.57
Municipios;1111;Pezuela de las Torres;163;152;76;88;0;0;33;34;272;274;59.93;55.47;27.94;32.12;12.13;12.41
Municipios;1126;Pinilla del Valle;17;22;26;25;0;0;11;13;54;60;31.48;36.67;48.15;41.67;20.37;21.67
Municipios;1132;Pinto;12164;12236;6542;7059;3;3;2953;3185;21659;22480;56.16;54.43;30.20;31.40;13.63;14.17
Municipios;1147;Piñuécar0Gandullas;29;32;32;36;0;0;14;11;75;79;38.67;40.51;42.67;45.57;18.67;13.92
Municipios;1150;Pozuelo de Alarcón;17018;16995;14580;15283;2;4;5706;5998;37304;38276;45.62;44.40;39.08;39.93;15.30;15.67
Municipios;1163;Pozuelo del Rey;285;292;137;147;0;0;42;46;464;485;61.42;60.21;29.53;30.31;9.05;9.48
Municipios;1179;Prádena del Rincón;29;32;10;17;0;0;4;1;43;50;67.44;64.00;23.26;34.00;9.30;2.00
Municipios;1185;Puebla de la Sierra;14;12;5;7;0;0;0;0;19;19;73.68;63.16;26.32;36.84;0.00;0.00
Municipios;9020;Puentes Viejas;101;101;114;104;0;0;27;32;242;237;41.74;42.62;47.11;43.88;11.16;13.50
Municipios;1198;Quijorna;711;726;499;544;0;0;192;221;1402;1491;50.71;48.69;35.59;36.49;13.69;14.82
Municipios;1202;Rascafría;291;289;269;276;0;0;106;105;666;670;43.69;43.13;40.39;41.19;15.92;15.67
Municipios;1219;Redueña;55;53;40;42;0;0;12;17;107;112;51.40;47.32;37.38;37.50;11.21;15.18
Municipios;1224;Ribatejada;128;136;98;106;0;0;30;40;256;282;50.00;48.23;38.28;37.59;11.72;14.18
Municipios;1230;Rivas0Vaciamadrid;20220;20816;13434;14232;5;6;5815;6039;39469;41087;51.23;50.66;34.04;34.64;14.73;14.70
Municipios;1245;Robledillo de la Jara;14;12;8;10;0;0;3;9;25;31;56.00;38.71;32.00;32.26;12.00;29.03
Municipios;1258;Robledo de Chavela;695;697;559;589;0;1;178;217;1432;1503;48.53;46.37;39.04;39.19;12.43;14.44
Municipios;1261;Robregordo;9;14;3;2;0;0;2;0;14;16;64.29;87.50;21.43;12.50;14.29;0.00
Municipios;1277;Rozas de Madrid (Las);20308;20425;14922;15845;1;4;5533;5897;40763;42167;49.82;48.44;36.61;37.58;13.57;13.98
Municipios;1283;Rozas de Puerto Real;61;66;46;50;0;0;27;21;134;137;45.52;48.18;34.33;36.50;20.15;15.33
Municipios;1296;San Agustín del Guadalix;2847;2782;2006;2169;0;0;844;880;5697;5831;49.97;47.71;35.21;37.20;14.81;15.09
Municipios;1300;San Fernando de Henares;9563;9654;6750;6875;4;3;2936;2959;19249;19488;49.68;49.54;35.07;35.28;15.25;15.18
Municipios;1317;San Lorenzo de El Escorial;3458;3487;2862;2980;1;2;1087;1145;7407;7612;46.69;45.81;38.64;39.15;14.68;15.04
Municipios;1338;San Martín de Valdeiglesias;1462;1475;1023;1055;1;1;415;447;2900;2977;50.41;49.55;35.28;35.44;14.31;15.02
Municipios;1322;San Martín de la Vega;4155;4204;2463;2628;2;0;1270;1325;7888;8157;52.67;51.54;31.22;32.22;16.10;16.24
Municipios;1343;San Sebastián de los Reyes;22235;22409;13030;13981;4;3;5640;6005;40905;42395;54.36;52.86;31.85;32.98;13.79;14.16
Municipios;1356;Santa María de la Alameda;226;221;179;193;0;0;59;72;464;486;48.71;45.47;38.58;39.71;12.72;14.81
Municipios;1369;Santorcaz;151;160;110;108;0;0;40;36;301;304;50.17;52.63;36.54;35.53;13.29;11.84
