Serie;Codigo_municipio;Nombre;censo_0a4_2022;censo_0a4_2023;censo_5a9_2022;censo_5a9_2023;censo_10a14_2022;censo_10a14_2023;censo_15a19_2022;censo_15a19_2023;censo_20a24_2022;censo_20a24_2023;censo_25a29_2022;censo_25a29_2023;censo_30a34_2022;censo_30a34_2023;censo_35a39_2022;censo_35a39_2023;censo_40a44_2022;censo_40a44_2023;censo_45a49_2022;censo_45a49_2023;censo_50a54_2022;censo_50a54_2023;censo_55a59_2022;censo_55a59_2023;censo_60a64_2022;censo_60a64_2023;censo_65a69_2022;censo_65a69_2023;censo_70a74_2022;censo_70a74_2023;censo_75a79_2022;censo_75a79_2023;censo_80a84_2022;censo_80a84_2023;censo_85a89_2022;censo_85a89_2023;censo_90a94_2022;censo_90a94_2023;censo_95a99_2022;censo_95a99_2023;censo_100_2022;censo_100_2023;censo_total_2022;censo_total_2023
Municipios;0284;Bustarviejo;94;90;137;140;185;182;128;142;108;115;92;95;146;133;174;175;253;261;308;317;253;253;228;222;171;177;126;136;92;100;78;81;45;43;51;47;29;33;9;10;0;0;2707;2752
Municipios;0297;Cabanillas de la Sierra;38;45;49;47;51;57;45;47;42;50;34;32;31;35;57;63;91;83;85;95;92;86;70;79;61;64;37;54;18;26;27;22;28;32;10;10;8;9;0;1;0;0;874;937
Municipios;0301;Cabrera (La);97;100;152;141;163;168;155;173;151;159;134;142;140;134;174;184;271;269;268;282;249;254;229;237;157;167;140;137;91;107;88;80;71;74;59;55;22;22;13;11;1;2;2825;2898
Municipios;0318;Cadalso de los Vidrios;136;123;147;149;163;181;152;141;151;166;163;152;200;183;215;209;236;229;259;264;228;245;258;250;216;212;177;183;183;194;140;149;79;83;49;51;52;45;10;7;1;2;3215;3218
Municipios;0323;Camarma de Esteruelas;308;302;456;423;605;588;519;550;375;423;335;344;433;440;494;511;750;712;872;890;676;726;498;529;400;421;272;312;244;236;159;185;82;86;75;72;29;26;2;5;1;1;7585;7782
Municipios;0339;Campo Real;358;325;415;427;427;416;347;361;289;303;344;356;432;414;543;515;703;683;605;643;527;534;438;457;353;373;264;287;169;178;150;152;105;100;108;108;67;65;16;14;2;0;6662;6711
Municipios;0344;Canencia;9;11;13;12;9;13;21;20;25;26;19;19;17;20;21;22;19;17;25;25;45;46;63;57;41;43;31;33;16;19;24;24;21;17;24;22;10;14;4;2;0;2;457;464
Municipios;0357;Carabaña;89;93;138;130;128;137;112;113;103;106;103;96;112;122;186;168;225;246;210;211;174;177;143;150;138;136;88;101;85;89;61;71;49;54;48;44;25;26;16;15;1;1;2234;2286
Municipios;0360;Casarrubuelos;192;202;243;240;284;291;259;252;198;230;186;197;249;225;296;313;399;389;447;466;347;355;221;245;215;210;174;173;113;125;83;95;41;45;21;24;18;18;1;4;0;0;3987;4099
Municipios;0376;Cenicientos;72;66;85;81;96;101;101;102;97;100;109;108;101;102;133;120;139;136;145;144;120;122;167;169;159;172;129;134;112;107;94;105;96;88;80;78;33;38;12;15;0;0;2080;2088
Municipios;0382;Cercedilla;282;267;334;352;387;372;375;392;456;474;412;425;419;430;499;477;556;575;646;636;684;681;631;657;526;540;367;397;287;292;226;241;195;176;144;158;72;79;27;28;2;3;7527;7652
Municipios;0395;Cervera de Buitrago;3;3;4;4;4;4;5;6;8;7;5;10;3;2;9;7;7;7;18;17;16;14;21;20;13;14;9;9;10;11;13;10;8;8;9;9;0;1;1;1;0;0;166;164
Municipios;0513;Chapinería;109;130;166;165;180;187;140;150;101;105;119;116;128;133;158;156;226;212;228;234;185;200;226;209;147;174;101;113;81;84;61;64;61;64;54;58;26;34;9;8;2;2;2508;2598
Municipios;0528;Chinchón;217;201;271;269;279;297;283;279;286;275;276;280;337;324;365;368;493;476;429;433;487;494;425;425;406;422;308;329;269;257;188;205;150;150;112;104;72;62;18;19;2;1;5673;5670
Municipios;0409;Ciempozuelos;1116;1025;1333;1339;1550;1547;1380;1444;1265;1349;1431;1397;1482;1557;1748;1716;2322;2210;2383;2462;2156;2234;1787;1873;1492;1559;1095;1183;846;847;668;717;464;469;429;451;188;210;63;71;6;12;25204;25672
Municipios;0416;Cobeña;366;335;562;546;597;611;528;560;417;452;339;361;360;344;487;486;735;697;787;814;671;692;548;592;425;444;249;268;142;155;127;133;78;78;58;74;36;49;11;11;1;0;7524;7702
Municipios;0468;Collado Mediano;287;293;373;362;460;450;504;485;408;418;369;396;380;369;404;395;556;522;727;724;770;748;598;646;476;508;364;361;269;274;220;222;129;141;103;101;49;40;8;7;1;1;7455;7463
Municipios;0474;Collado Villalba;2592;2501;3163;3180;3624;3656;3683;3776;3720;3901;3945;4003;4088;4323;4497;4485;5304;5268;5699;5713;5453;5547;5228;5353;4099;4336;2981;3195;2372;2492;1786;1885;1140;1142;916;939;413;416;118;131;22;18;64843;66260
Municipios;0455;Colmenar Viejo;2675;2706;3195;3231;3176;3298;3046;3167;2974;3083;2928;3034;3240;3398;4166;4126;4716;4842;4620;4807;4221;4307;3833;3959;3186;3425;2242;2347;1707;1838;1272;1374;866;850;713;742;388;418;138;132;14;16;53316;55100
Municipios;0437;Colmenar de Oreja;285;290;410;402;482;490;500;505;440;450;421;433;498;506;552;534;702;699;765;819;727;719;615;651;583;589;442;478;366;384;270;277;231;211;172;192;75;100;23;19;2;2;8561;8750
Municipios;0421;Colmenar del Arroyo;73;87;104;90;101;100;99;109;73;68;94;90;112;116;139;137;168;158;169;163;167;179;144;149;127;129;101;105;74;78;72;81;45;41;42;35;29;32;4;5;2;2;1939;1954
Municipios;0442;Colmenarejo;302;302;531;479;702;692;703;734;659;665;488;516;458;464;526;521;790;736;949;944;907;932;758;791;556;598;369;409;319;323;231;251;139;141;97;95;45;43;14;14;1;5;9544;9655
Municipios;0480;Corpa;39;35;61;56;41;45;39;45;24;25;28;27;60;53;63;65;88;89;72;83;43;44;43;48;44;47;40;40;30;35;19;17;15;13;14;18;7;10;2;1;0;0;772;796
Municipios;0493;Coslada;2785;2689;3348;3318;3943;3861;3531;3765;3641;3659;4261;4036;4999;4841;5529;5374;6729;6356;6948;6984;5606;5668;5483;5320;6324;6043;5999;6091;5241;5448;3223;3519;1518;1650;922;946;431;452;100;112;17;14;80578;80146
Municipios;0506;Cubas de la Sagra;345;323;482;480;594;583;515;549;314;321;235;221;303;301;460;451;763;736;754;800;544;558;376;424;306;297;192;220;156;167;121;117;74;90;83;81;57;68;16;17;2;3;6692;6807
Municipios;0534;Daganzo de Arriba;433;423;675;598;936;897;920;941;652;711;422;405;397;414;602;559;907;848;1294;1226;1251;1299;785;846;470;526;320;314;197;216;153;161;89;86;91;89;30;35;8;5;1;2;10633;10601
Municipios;0549;Escorial (El);616;603;772;773;863;881;957;952;883;952;859;848;893;879;1001;993;1260;1251;1412;1390;1344;1336;1474;1480;1261;1327;906;1002;797;794;577;637;374;373;291;289;151;167;39;46;3;5;16733;16978
Municipios;0552;Estremera;53;55;65;54;68;79;58;67;70;71;74;74;69;69;86;85;111;117;115;118;117;123;91;91;100;101;77;83;64;66;46;52;48;49;53;49;34;34;8;11;1;1;1408;1449
Municipios;0565;Fresnedillas de la Oliva;86;90;112;99;132;143;95;88;106;111;101;87;89;99;126;128;173;169;150;153;140;135;123;125;115;124;70;78;57;55;47;57;25;25;17;13;15;17;2;3;0;0;1781;1799
Municipios;0571;Fresno de Torote;104;104;167;157;174;190;141;158;107;111;94;91;133;124;187;183;229;238;273;260;226;258;146;166;105;108;89;98;97;84;89;98;36;40;27;26;11;12;2;2;1;0;2438;2508
Municipios;0587;Fuenlabrada;7338;6885;9089;8873;10709;10444;11150;11191;10580;10955;10041;9761;11407;10896;13747;13140;16327;15864;15682;15603;15626;15388;13778;14159;14340;13560;13637;14234;7707;8710;4219;4716;2234;2314;1629;1578;754;767;200;222;21;27;190215;189287
Municipios;0590;Fuente el Saz de Jarama;282;288;385;370;430;430;452;475;420;442;348;375;400;425;488;490;599;606;656;657;605;638;529;565;422;443;318;320;248;264;170;200;119;114;93;95;54;43;15;18;1;2;7034;7260
Municipios;0604;Fuentidueña de Tajo;85;94;109;101;114;112;92;116;114;103;135;113;128;137;160;134;194;202;197;193;159;165;167;171;166;166;130;140;111;118;65;76;50;44;40;42;28;26;4;7;1;0;2249;2260
