Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado por 100 habitantes. Unidad: Ratio. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0587;Fuenlabrada;4.64;4.58;5.48;9.21;10.38;10.16;10.96;12.32;11.86;10.65;9.49;8.26;7.45;6.87;6.80;8.19;6.39;5.93;
Municipios;0590;Fuente el Saz de Jarama;2.75;2.73;3.31;6.56;7.85;8.04;9.45;9.50;8.91;7.97;7.01;6.38;6.07;5.85;6.13;6.87;5.50;4.90;
Municipios;0604;Fuentidueña de Tajo;5.67;5.78;6.50;10.86;11.74;13.57;15.21;14.90;14.61;13.25;13.17;10.86;9.52;8.38;7.63;9.20;8.53;6.87;
Municipios;0611;Galapagar;3.72;3.52;4.11;6.36;7.49;7.50;8.22;8.65;8.48;7.52;6.97;5.98;5.58;5.05;5.25;6.32;4.83;4.58;
Municipios;0626;Garganta de los Montes;4.05;4.59;5.68;6.55;8.29;10.26;10.35;11.70;9.42;9.81;8.83;8.16;6.32;6.05;7.69;6.33;5.06;5.24;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1.91;4.31;5.99;4.76;6.87;7.65;9.21;9.51;9.12;8.26;6.46;5.08;4.40;6.33;6.15;6.98;7.48;5.67;
Municipios;0647;Gascones;1.36;6.76;2.07;3.95;9.82;7.65;9.24;8.52;5.59;5.68;7.02;6.82;5.85;5.18;3.41;5.76;6.13;4.37;
Municipios;0650;Getafe;4.54;4.20;4.61;7.34;8.31;8.31;8.97;9.80;9.35;8.56;7.70;6.73;6.11;5.56;5.64;6.99;5.35;4.93;
Municipios;0663;Griñón;3.17;2.61;2.91;5.16;5.98;6.08;7.18;7.87;6.85;6.57;5.86;4.90;4.55;4.22;4.52;5.07;4.34;4.02;
Municipios;0679;Guadalix de la Sierra;3.43;3.80;4.21;6.53;8.03;8.11;8.95;10.49;10.25;9.41;9.21;7.70;7.31;6.21;5.95;6.98;5.61;5.14;
