Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Paro registrado en las oficinas de empleo de personas de 45 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1760;Villanueva de la Cañada;121;119;162;231;288;329;392;426;453;443;427;424;393;406;400;480;456;424;
Municipios;1776;Villanueva del Pardillo;94;86;122;193;249;260;343;361;417;424;421;407;390;380;401;463;412;386;
Municipios;1795;Villar del Olmo;22;22;21;37;57;67;66;77;74;74;68;74;73;75;68;80;76;70;
Municipios;1809;Villarejo de Salvanés;48;60;98;170;228;250;276;333;351;332;342;315;315;314;338;346;319;305;
Municipios;1816;Villaviciosa de Odón;267;287;321;438;491;502;561;626;624;616;614;558;493;498;524;617;537;504;
Municipios;1821;Villavieja del Lozoya;1;1;2;3;4;4;4;11;10;10;13;8;9;5;8;10;11;10;
Municipios;1837;Zarzalejo;23;23;19;31;57;60;67;58;56;58;76;71;74;54;66;75;83;77;
Notas;
Datos a 31 de marzo.;
;
Paro registrado: Demandas de empleo pendientes de satisfacer el último día del mes presentadas en la oficina correspondiente a su domicilio, excepto las que se encuentran en determinadas situaciones.;
;
Debido a las medidas tomadas para combatir el COVID-19 los datos de paro registrado para el año 2020 ,pueden no estar reflejando al completo las variaciones registradas, lo que aconsejamos tener en cuenta en su valoración.;
