Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1415;Sevilla la Nueva;136;152;160;167;177;167;166;187;180;
Municipios;1436;Somosierra;2;2;2;2;2;2;2;2;2;
Municipios;1441;Soto del Real;152;167;182;182;191;178;179;178;179;
Municipios;1454;Talamanca de Jarama;45;44;46;47;53;47;46;52;60;
Municipios;1467;Tielmes;15;10;10;17;15;15;20;16;17;
Municipios;1473;Titulcia;11;12;13;12;13;12;11;11;11;
Municipios;1489;Torrejón de Ardoz;1324;1399;1397;1393;1475;1470;1419;1460;1472;
Municipios;1505;Torrejón de Velasco;43;36;44;39;38;36;31;37;37;
Municipios;1492;Torrejón de la Calzada;107;124;133;133;132;133;142;144;151;
Municipios;1512;Torrelaguna;49;51;54;54;53;51;48;59;62;
Municipios;1527;Torrelodones;752;778;816;831;891;915;913;967;942;
Municipios;1533;Torremocha de Jarama;18;21;20;23;21;24;22;18;20;
Municipios;1548;Torres de la Alameda;89;87;96;94;89;96;90;100;95;
Municipios;9036;Tres Cantos;1156;1178;1172;1207;1276;1299;1275;1347;1370;
Municipios;1551;Valdaracete;3;2;2;1;1;1;1;1;2;
Municipios;1564;Valdeavero;11;10;10;11;18;18;19;22;21;
Municipios;1570;Valdelaguna;8;8;8;8;8;8;9;11;12;
Municipios;1586;Valdemanco;3;7;8;4;4;6;5;8;9;
Municipios;1599;Valdemaqueda;4;3;6;7;8;7;8;8;9;
Municipios;1603;Valdemorillo;290;312;326;344;360;366;391;454;443;
Municipios;1610;Valdemoro;855;876;897;901;953;983;979;1017;1008;
Municipios;1625;Valdeolmos-Alalpardo;82;81;83;90;92;83;96;94;95;
Municipios;1631;Valdepiélagos;6;6;6;7;10;7;10;11;9;
Municipios;1646;Valdetorres de Jarama;47;49;49;53;59;61;59;68;73;
Municipios;1659;Valdilecha;20;18;16;16;18;24;25;28;25;
Municipios;1662;Valverde de Alcalá;1;3;0;0;2;2;2;3;3;
Municipios;1678;Velilla de San Antonio;124;130;139;139;149;152;158;168;178;
Municipios;1684;Vellón (El);22;21;21;21;18;20;23;28;24;
Municipios;1697;Venturada;58;60;67;63;71;78;82;86;82;
Municipios;1718;Villa del Prado;41;38;41;46;41;41;44;45;48;
Municipios;1701;Villaconejos;18;18;18;17;16;19;22;24;21;
Municipios;1723;Villalbilla;179;180;180;189;211;221;231;254;254;
Municipios;1739;Villamanrique de Tajo;1;2;2;1;1;1;4;3;3;
Municipios;1744;Villamanta;16;20;20;22;20;24;23;27;28;
Municipios;1757;Villamantilla;17;17;15;16;14;18;22;26;24;
Municipios;1782;Villanueva de Perales;17;21;21;24;27;25;25;22;23;
Municipios;1760;Villanueva de la Cañada;517;557;596;622;684;700;715;778;751;
Municipios;1776;Villanueva del Pardillo;320;365;379;402;420;420;416;433;462;
Municipios;1795;Villar del Olmo;27;28;34;35;35;46;45;50;47;
Municipios;1809;Villarejo de Salvanés;67;67;66;63;64;62;70;67;66;
Municipios;1816;Villaviciosa de Odón;825;823;823;875;923;927;918;962;946;
Municipios;1821;Villavieja del Lozoya;5;5;5;5;5;6;7;5;3;
Municipios;1837;Zarzalejo;17;17;21;22;24;25;25;27;26;
