Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
2.10-2023-280685;Guadarrama;11;2023;2.10;280685
2.10-2023-280698;Hiruela (La);6;2023;2.10;280698
2.10-2023-280702;Horcajo de la Sierra-Aoslos;6;2023;2.10;280702
2.10-2023-280719;Horcajuelo de la Sierra;6;2023;2.10;280719
2.10-2023-280724;Hoyo de Manzanares;5;2023;2.10;280724
2.10-2023-280730;Humanes de Madrid;4;2023;2.10;280730
2.10-2023-280745;Leganés;4;2023;2.10;280745
2.10-2023-280758;Loeches;8;2023;2.10;280758
2.10-2023-280761;Lozoya;6;2023;2.10;280761
2.10-2023-289015;Lozoyuela-Navas-Sieteiglesias;6;2023;2.10;289015
2.10-2023-280783;Madarcos;6;2023;2.10;280783
2.10-2023-280800;Majadahonda;5;2023;2.10;280800
2.10-2023-280822;Manzanares el Real;11;2023;2.10;280822
2.10-2023-280838;Meco;7;2023;2.10;280838
2.10-2023-280843;Mejorada del Campo;3;2023;2.10;280843
2.10-2023-280856;Miraflores de la Sierra;11;2023;2.10;280856
2.10-2023-280869;Molar (El);7;2023;2.10;280869
2.10-2023-280875;Molinos (Los);11;2023;2.10;280875
2.10-2023-280881;Montejo de la Sierra;6;2023;2.10;280881
2.10-2023-280894;Moraleja de Enmedio;9;2023;2.10;280894
2.10-2023-280908;Moralzarzal;11;2023;2.10;280908
2.10-2023-280915;Morata de Tajuña;8;2023;2.10;280915
2.10-2023-280920;Móstoles;4;2023;2.10;280920
2.10-2023-280936;Navacerrada;11;2023;2.10;280936
2.10-2023-280941;Navalafuente;6;2023;2.10;280941
2.10-2023-280954;Navalagamella;10;2023;2.10;280954
2.10-2023-280967;Navalcarnero;9;2023;2.10;280967
2.10-2023-280973;Navarredonda y San Mamés;6;2023;2.10;280973
2.10-2023-280992;Navas del Rey;10;2023;2.10;280992
2.10-2023-281006;Nuevo Baztán;8;2023;2.10;281006
2.10-2023-281013;Olmeda de las Fuentes;8;2023;2.10;281013
2.10-2023-281028;Orusco de Tajuña;8;2023;2.10;281028
2.10-2023-281049;Paracuellos de Jarama;3;2023;2.10;281049
2.10-2023-281065;Parla;4;2023;2.10;281065
2.10-2023-281071;Patones;6;2023;2.10;281071
2.10-2023-281087;Pedrezuela;6;2023;2.10;281087
2.10-2023-281090;Pelayos de la Presa;10;2023;2.10;281090
2.10-2023-281104;Perales de Tajuña;8;2023;2.10;281104
2.10-2023-281111;Pezuela de las Torres;8;2023;2.10;281111
2.10-2023-281126;Pinilla del Valle;6;2023;2.10;281126
2.10-2023-281132;Pinto;4;2023;2.10;281132
2.10-2023-281147;Piñuécar-Gandullas;6;2023;2.10;281147
2.10-2023-281150;Pozuelo de Alarcón;5;2023;2.10;281150
2.10-2023-281163;Pozuelo del Rey;8;2023;2.10;281163
2.10-2023-281179;Prádena del Rincón;6;2023;2.10;281179
2.10-2023-281185;Puebla de la Sierra;6;2023;2.10;281185
2.10-2023-289020;Puentes Viejas;6;2023;2.10;289020
2.10-2023-281198;Quijorna;9;2023;2.10;281198
2.10-2023-281202;Rascafría;6;2023;2.10;281202
2.10-2023-281219;Redueña;6;2023;2.10;281219
2.10-2023-281224;Ribatejada;7;2023;2.10;281224
2.10-2023-281230;Rivas-Vaciamadrid;3;2023;2.10;281230
2.10-2023-281245;Robledillo de la Jara;6;2023;2.10;281245
2.10-2023-281258;Robledo de Chavela;10;2023;2.10;281258
2.10-2023-281261;Robregordo;6;2023;2.10;281261
