Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;pib_municipios_sector_2020;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario
Municipios;0382;Cercedilla;57.007;280382;11;Sierra Central;40.82;900.0;10500.0;172550.0;600.0;8800.0;249600.0;500.0;10500.0;207150.0;2.55;201.48;42.79;49.38;31.81;17.10;8.91;3.43;13.78;24.97;36.03;50.62;7.10;0;0;0;0;160;342;182;20;5.02;362;94.48;5.52;terciario;7.205;30;1;29;798.29;0.01;797.23;376.0;7426.0;63074.0
Municipios;0395;Cervera de Buitrago;82.105;280395;06;Sierra Norte;11.54;0.0;0.0;4050.0;0.0;1400.0;20400.0;0.0;100.0;3400.0;8.00;14.03;51.26;67.28;43.83;29.63;19.75;4.32;9.88;16.67;20.99;32.72;28.57;0;0;0;0;4;9;5;0;5.56;9;100.00;0.00;terciario;162;0;0;0;0;0;0;0.0;47.0;1739.0
Municipios;0513;Chapinería;57.258;0;0;0;0;500.0;5050.0;38100.0;0.0;4200.0;59400.0;200.0;8350.0;41850.0;3.69;94.44;41.24;46.48;29.95;16.74;9.65;3.98;18.97;28.58;37.95;53.52;24.20;0;0;0;0;62;168;106;27;8.08;195;86.15;13.85;terciario;2.414;5;0;3;306.70;0.00;297.71;188.0;3760.0;16826.0
Municipios;0528;Chinchón;45.592;0;0;0;0;6400.0;11900.0;108750.0;16200.0;13000.0;353800.0;9150.0;20550.0;140050.0;1.54;46.71;43.25;48.92;33.12;19.29;9.75;3.77;14.26;24.09;35.17;51.08;-4.66;0;0;0;0;147;347;200;21;6.80;368;94.29;5.71;terciario;5.413;383;12;9;4608.05;0.38;237.44;5217.0;7238.0;53721.0
Municipios;0409;Ciempozuelos;35.540;280409;04;Sur Metropolitano;49.41;2700.0;55350.0;633000.0;1300.0;84500.0;1497400.0;2450.0;115150.0;1076050.0;2.08;508.28;39.00;42.90;25.87;13.86;6.84;2.57;16.86;27.01;38.97;57.10;6.44;0;0;0;0;759;1543;784;159;6.78;1702;90.66;9.34;terciario;25.104;108;9;9;2361.62;0.20;246.19;2068.0;27495.0;144760.0
Municipios;0416;Cobeña;34.590;0;0;0;0;950.0;15250.0;134200.0;200.0;26500.0;145900.0;1100.0;24150.0;164850.0;0.78;359.73;36.74;39.45;20.45;8.67;4.11;1.56;21.09;33.06;42.65;60.55;-7.39;0;0;0;0;75;223;148;15;3.18;238;93.70;6.30;terciario;7.486;18;0;3;1343.35;0.00;39.47;846.0;6627.0;62275.0
Municipios;0468;Collado Mediano;47.487;280468;11;Sierra Central;22.19;0.0;17500.0;110900.0;400.0;23800.0;128000.0;150.0;17250.0;138600.0;2.11;319.90;41.03;48.05;28.39;14.83;6.66;1.97;16.24;27.99;37.47;51.95;4.30;0;0;0;0;161;412;251;25;6.15;437;94.28;5.72;terciario;7.105;18;2;17;573.58;0.02;572.56;141.0;6298.0;61899.0
Municipios;0474;Collado Villalba;42.565;280474;05;Oeste Metropolitano;25.19;5350.0;89300.0;1274550.0;10900.0;107600.0;1415700.0;4100.0;126450.0;1678600.0;1.10;2552.66;40.43;44.49;27.54;14.21;6.46;2.13;15.41;26.70;39.36;55.51;5.45;0;0;0;0;1675;3882;2207;317;6.52;4199;92.45;7.55;terciario;64.378;7;1;5;605.48;0.05;602.41;1786.0;51089.0;504028.0
Municipios;0455;Colmenar Viejo;32.965;280455;02;Norte Metropolitano;182.88;9250.0;127650.0;1052300.0;5200.0;171500.0;1584700.0;8200.0;234200.0;1665100.0;2.34;283.85;39.38;42.13;25.84;13.42;6.30;2.47;17.36;28.51;40.75;57.87;0.98;1316.5;964.08;0;0;1107;2361;1254;211;4.95;2572;91.80;8.20;terciario;51.938;165;12;161;13976.40;0.39;13613.71;5264.0;46107.0;389677.0
Municipios;0437;Colmenar de Oreja;57.211;280437;08;Sudeste Comunidad;126.33;4000.0;26150.0;103200.0;12000.0;26800.0;142000.0;3900.0;31000.0;124950.0;1.52;64.49;42.77;48.65;32.01;18.29;9.63;3.42;14.43;25.40;36.15;51.35;9.91;0;0;0;0;258;577;319;66;7.89;643;89.74;10.26;terciario;8.154;501;17;22;7955.99;0.48;1165.52;2538.0;14570.0;54849.0
Municipios;0421;Colmenar del Arroyo;61.175;280421;10;Sierra Sur;49.31;750.0;7050.0;31400.0;300.0;6100.0;84000.0;900.0;12700.0;94500.0;3.48;36.20;43.45;49.02;32.16;19.50;9.86;4.31;15.13;23.08;33.95;50.98;-3.39;0;0;0;0;48;110;62;4;6.39;114;96.49;3.51;terciario;1.785;16;1;13;2519.57;0.02;2405.17;705.0;2209.0;13677.0
Municipios;0442;Colmenarejo;37.111;280442;11;Sierra Central;31.49;450.0;15450.0;160300.0;400.0;23300.0;145500.0;350.0;25900.0;320900.0;1.10;293.02;38.84;43.95;24.44;11.84;5.10;1.56;17.65;31.29;41.06;56.05;9.71;0;0;0;0;209;465;256;32;5.38;497;93.56;6.44;terciario;9.230;7;0;7;1727.93;0.00;1727.93;235.0;7426.0;62604.0
Municipios;0480;Corpa;46.516;280480;08;Sudeste Comunidad;25.94;0.0;1050.0;8200.0;0.0;200.0;13200.0;100.0;550.0;8600.0;1.40;27.85;39.83;39.97;26.83;16.04;8.02;3.04;19.64;26.97;39.28;60.03;0.00;0;0;0;0;27;44;17;1;6.22;45;97.78;2.22;terciario;723;34;2;0;1327.01;0.03;0.00;94.0;517.0;3478.0
Municipios;0493;Coslada;12.887;280493;03;Este Metropolitano;12.02;550.0;312400.0;2528650.0;3500.0;232500.0;5611000.0;1200.0;418600.0;3262100.0;-0.33;6765.67;43.60;49.49;35.19;19.98;6.82;1.78;13.14;21.71;34.18;50.51;2.49;0;0;0;0;1793;4255;2462;305;5.60;4560;93.31;6.69;terciario;81.391;0;0;0;0;0;0;893.0;86151.0;648271.0
Municipios;0506;Cubas de la Sagra;36.177;280506;09;Sudoeste Comunidad;12.89;400.0;32550.0;116350.0;800.0;30600.0;158600.0;500.0;43350.0;120800.0;1.96;506.90;37.31;37.91;20.63;11.13;6.24;3.29;22.45;32.99;41.75;62.09;8.48;0;0;0;0;140;287;147;20;4.69;307;93.49;6.51;terciario;6.539;9;0;2;248.23;0.00;8.45;423.0;8836.0;41031.0
Municipios;0534;Daganzo de Arriba;36.597;280534;07;Nordeste Comunidad;43.40;850.0;65750.0;269700.0;200.0;180800.0;416000.0;1100.0;156150.0;372750.0;1.29;237.96;36.40;41.12;17.70;7.78;3.32;1.04;21.27;34.50;42.41;58.88;13.36;0;0;0;0;190;469;279;40;4.92;509;92.14;7.86;terciario;10.337;30;3;3;4232.89;0.05;323.84;987.0;16309.0;88595.0
Municipios;0549;Escorial (El);51.323;280549;11;Sierra Central;68.81;1600.0;16150.0;257450.0;900.0;10500.0;288400.0;1700.0;16850.0;376550.0;1.26;237.79;42.93;50.31;33.21;17.81;8.12;2.87;14.10;24.95;35.32;49.69;8.52;0;0;0;0;292;792;500;49;5.14;841;94.17;5.83;terciario;16.365;37;1;36;3485.26;0.01;3482.38;1457.0;11280.0;134232.0
Municipios;0552;Estremera;72.696;280552;08;Sudeste Comunidad;79.13;1100.0;3900.0;86400.0;41100.0;3800.0;97300.0;2500.0;3400.0;109450.0;5.87;16.84;45.83;52.47;36.66;24.14;15.67;7.27;13.57;23.39;33.96;47.53;5.62;0;0;0;0;38;91;53;3;7.05;94;96.81;3.19;terciario;1.334;126;9;9;5375.96;0.20;96.57;1128.0;1645.0;11609.0
