Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;sector;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total
Municipios;0382;Cercedilla;280382;11;Sierra Central;40.82;1;5;6;23;65;88;147;123;1053;1176;1123;11.57;88.43;1270;201.48;57.007;10;210;4143;0.3;0.01;0.29;7.98;0.0;7.97;0;0;0;0;5;45;296;7.205;Terciario;8;158;1342;742
Municipios;0395;Cervera de Buitrago;280395;06;Sierra Norte;11.54;0;0;0;7;7;14;10;3;67;70;74;11.90;88.10;84;14.03;82.105;0;2;68;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;1;8;162;Terciario;0;1;37;19
Municipios;0513;Chapinería;280513;10;Sierra Sur;25.55;0;0;0;5;37;42;49;44;207;251;244;16.72;83.28;293;94.44;57.258;4;167;837;0.05;0.0;0.03;3.07;0.0;2.98;0;0;0;0;5;18;159;2.414;Terciario;4;80;358;212
Municipios;0528;Chinchón;280528;08;Sudeste Comunidad;115.79;14;148;162;13;117;130;140;113;1485;1598;1750;7.41;92.59;1890;46.71;45.592;183;411;2801;3.83;0.12;0.09;46.08;0.0;2.37;0;0;0;0;22;54;264;5.413;Terciario;111;154;1143;681
Municipios;0409;Ciempozuelos;280409;04;Sur Metropolitano;49.41;0;13;13;131;714;845;797;666;6367;7033;7094;10.10;89.90;7891;508.28;35.540;49;2303;21521;1.08;0.09;0.09;23.62;0.0;2.46;0;0;0;0;14;289;1275;25.104;Terciario;44;585;3080;1780
Municipios;0416;Cobeña;280416;02;Norte Metropolitano;20.79;1;1;2;40;225;265;178;137;434;571;660;21.24;78.76;838;359.73;34.590;22;483;3297;0.18;0.0;0.03;13.43;0.0;0.39;0;0;0;0;2;38;180;7.486;Terciario;18;141;1325;723
Municipios;0468;Collado Mediano;280468;11;Sierra Central;22.19;0;4;4;28;210;238;202;174;320;494;534;27.45;72.55;736;319.90;47.487;3;345;2772;0.18;0.02;0.17;5.74;0.0;5.73;0;0;0;0;1;80;332;7.105;Terciario;3;134;1317;715
Municipios;0474;Collado Villalba;280474;05;Oeste Metropolitano;25.19;10;99;109;213;863;1076;1473;1250;5211;6461;6173;19.26;80.74;7646;2552.66;42.565;82;2529;33572;0.07;0.01;0.05;6.05;0.0;6.02;0;0;0;0;31;587;3382;64.378;Terciario;38;1087;10724;5830
Municipios;0455;Colmenar Viejo;280455;02;Norte Metropolitano;182.88;19;33;52;220;1495;1715;1276;1037;5978;7015;7506;14.53;85.47;8782;283.85;32.965;164;4684;33302;1.65;0.12;1.61;139.76;0.0;136.14;0;0;1316.5;964.08;21;407;2021;51.938;Terciario;112;981;8291;4589
Municipios;0437;Colmenar de Oreja;280437;08;Sudeste Comunidad;126.33;2;118;120;27;241;268;103;74;417;491;776;11.72;88.28;879;64.49;57.211;78;620;2499;5.01;0.17;0.22;79.56;0.0;11.66;0;0;0;0;14;153;444;8.154;Terciario;54;310;1167;733
