Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados de la industria manufacturera. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;1505;Torrejón de Velasco;152;143;167;165;166;168;148;160;170;
Municipios;1492;Torrejón de la Calzada;403;435;446;499;527;558;523;512;471;
Municipios;1512;Torrelaguna;22;21;26;31;20;19;23;21;23;
Municipios;1527;Torrelodones;43;49;56;67;68;67;79;81;84;
Municipios;1533;Torremocha de Jarama;13;11;15;19;8;11;13;13;12;
Municipios;1548;Torres de la Alameda;671;734;762;687;735;720;637;678;701;
Municipios;9036;Tres Cantos;5763;6240;6351;6598;6815;7272;7279;7085;7582;
Municipios;1551;Valdaracete;1;1;1;8;10;10;13;6;6;
Municipios;1564;Valdeavero;56;58;71;65;67;67;63;74;71;
Municipios;1570;Valdelaguna;22;21;19;18;15;15;10;10;8;
Municipios;1586;Valdemanco;3;2;0;2;4;1;3;2;2;
Municipios;1599;Valdemaqueda;3;3;3;3;3;3;3;4;4;
Municipios;1603;Valdemorillo;222;208;195;217;197;222;223;195;209;
Municipios;1610;Valdemoro;1745;1781;2084;2290;2201;2143;2118;2226;2190;
Municipios;1625;Valdeolmos-Alalpardo;156;185;197;192;182;177;174;177;178;
Municipios;1631;Valdepiélagos;6;6;8;15;21;20;21;21;25;
Municipios;1646;Valdetorres de Jarama;45;52;74;76;45;26;22;35;47;
Municipios;1659;Valdilecha;52;107;104;108;85;77;78;72;69;
Municipios;1662;Valverde de Alcalá;0;0;0;0;0;0;0;0;0;
Municipios;1678;Velilla de San Antonio;669;653;680;707;689;692;676;616;595;
Municipios;1684;Vellón (El);8;7;6;6;8;10;9;10;10;
Municipios;1697;Venturada;9;9;13;11;13;12;13;14;20;
Municipios;1718;Villa del Prado;35;34;29;25;25;22;22;26;24;
Municipios;1701;Villaconejos;53;76;81;76;66;73;70;71;65;
Municipios;1723;Villalbilla;417;417;421;452;498;462;434;428;489;
Municipios;1739;Villamanrique de Tajo;0;0;2;2;1;2;2;2;3;
Municipios;1744;Villamanta;34;33;36;38;26;26;25;25;27;
Municipios;1757;Villamantilla;31;39;31;29;31;24;23;24;24;
Municipios;1782;Villanueva de Perales;9;11;11;8;9;11;11;17;15;
Municipios;1760;Villanueva de la Cañada;118;115;110;114;110;107;109;135;141;
Municipios;1776;Villanueva del Pardillo;46;53;70;57;78;122;126;137;131;
Municipios;1795;Villar del Olmo;8;8;12;25;24;29;29;22;27;
Municipios;1809;Villarejo de Salvanés;375;868;920;951;968;953;987;1034;939;
Municipios;1816;Villaviciosa de Odón;323;348;364;449;545;586;564;502;584;
Municipios;1821;Villavieja del Lozoya;2;2;2;2;1;1;1;1;1;
Municipios;1837;Zarzalejo;113;117;120;118;126;137;129;127;116;(A) Avance ;
Notas;
(Base 2015);
;
Población empadronada a 1 de enero.;
;
Incluye: industria de la alimentación e industria textil, metal y otras industrias.;
