Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Variación relativa del paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1006;Nuevo Baztán;32.66;58.71;27.92;0.93;4.44;10.80;-3.35;-9.92;-16.15;-8.53;-8.61;-0.79;12.14;21.88;-26.83;5.01;
Municipios;1013;Olmeda de las Fuentes;0.00;50.00;5.56;26.32;-16.67;20.00;-8.33;-18.18;0.00;-44.44;60.00;0.00;0.00;-12.50;-14.29;66.67;
Municipios;1028;Orusco de Tajuña;-5.56;76.47;47.78;2.26;21.32;6.67;-9.09;-19.38;-11.63;-11.40;-3.96;2.06;1.01;22.00;-17.21;-5.94;
Municipios;1049;Paracuellos de Jarama;44.69;90.83;35.74;8.15;26.31;8.30;-5.59;-5.83;-13.82;-4.38;-1.42;-8.51;0.12;30.16;-19.74;-6.12;
Municipios;1065;Parla;31.88;77.66;23.54;-0.85;11.50;5.56;-4.57;-9.96;-8.95;-12.89;-8.20;-6.85;3.30;15.09;-20.75;-8.88;
Municipios;1071;Patones;7.14;33.33;25.00;0.00;24.00;-9.68;-25.00;9.52;47.83;-29.41;-8.33;-27.27;0.00;56.25;-36.00;31.25;
Municipios;1087;Pedrezuela;23.08;91.41;37.55;8.01;22.25;5.62;-5.96;-9.28;0.75;-5.20;-16.19;-5.61;1.32;21.17;-20.43;-6.76;
Municipios;1090;Pelayos de la Presa;46.90;36.75;40.09;1.26;0.31;10.22;-16.57;-2.02;-1.72;2.10;-5.48;-9.42;-2.80;35.39;-20.67;-18.39;
Municipios;1104;Perales de Tajuña;18.09;106.31;19.65;7.30;22.79;1.66;-7.90;-2.96;-5.18;-15.43;9.89;-5.54;1.83;14.39;-10.38;-11.23;
Municipios;1111;Pezuela de las Torres;26.09;96.55;31.58;17.33;2.27;-3.33;-6.90;-24.69;-21.31;4.17;-12.00;-9.09;-2.50;46.15;-35.09;45.95;
Municipios;1126;Pinilla del Valle;-40.00;-33.33;33.33;75.00;21.43;-5.88;18.75;-26.32;-28.57;-10.00;-22.22;-14.29;83.33;9.09;-8.33;-9.09;
Municipios;1132;Pinto;32.01;69.00;21.29;2.15;12.03;9.25;-3.20;-6.74;-9.22;-12.11;-4.98;-7.90;6.30;16.93;-22.14;-7.61;
Municipios;1147;Piñuécar-Gandullas;16.67;14.29;37.50;0.00;9.09;33.33;-37.50;20.00;-8.33;-27.27;50.00;-41.67;71.43;33.33;-50.00;-50.00;
Municipios;1150;Pozuelo de Alarcón;11.30;40.83;21.89;-0.69;8.33;4.60;-4.64;-8.58;-14.68;-3.79;-8.92;-4.98;1.91;17.17;-19.37;-6.30;
Municipios;1163;Pozuelo del Rey;146.67;54.05;47.37;5.95;11.24;11.11;3.64;-27.19;1.20;-19.05;2.94;-8.57;23.44;25.32;-30.30;11.59;
Municipios;1179;Prádena del Rincón;-40.00;133.33;71.43;0.00;-25.00;22.22;27.27;-64.29;80.00;-44.44;0.00;-40.00;0.00;0.00;33.33;50.00;
Municipios;1185;Puebla de la Sierra;-80.00;300.00;125.00;-33.33;-16.67;140.00;-8.33;-27.27;-50.00;0.00;-75.00;400.00;0.00;-40.00;-33.33;150.00;
Municipios;9020;Puentes Viejas;42.11;22.22;54.55;-21.57;22.50;-6.12;23.91;-8.77;-9.62;4.26;0.00;-12.24;-20.93;20.59;-26.83;-6.67;
Municipios;1198;Quijorna;28.57;100.00;22.84;-0.50;24.75;14.17;-3.19;-12.82;-10.92;-0.94;-7.14;-8.72;-3.93;33.33;-16.67;-9.47;
Municipios;1202;Rascafría;5.00;73.81;61.64;-2.54;23.48;-9.86;-8.59;22.22;-18.88;-28.45;-4.82;-5.06;1.33;23.68;-4.26;-17.78;
Municipios;1219;Redueña;71.43;25.00;0.00;0.00;33.33;0.00;5.00;-4.76;-30.00;0.00;-21.43;9.09;-8.33;172.73;-56.67;7.69;
Municipios;1224;Ribatejada;18.18;84.62;18.75;-3.51;14.55;4.76;13.64;8.00;-11.11;-20.83;19.30;-17.65;8.93;14.75;-11.43;-16.13;
Municipios;1230;Rivas-Vaciamadrid;18.33;71.85;24.54;6.35;9.66;13.43;1.05;-7.87;-6.82;-8.46;-5.87;-7.02;3.30;22.94;-18.31;-0.91;
Municipios;1245;Robledillo de la Jara;0.00;50.00;-33.33;0.00;100.00;62.50;-15.38;0.00;-36.36;-42.86;0.00;-50.00;100.00;-25.00;100.00;66.67;
Municipios;1258;Robledo de Chavela;15.91;61.44;17.81;-4.81;29.60;8.91;-15.09;-3.01;2.48;-16.67;-4.36;-8.37;14.11;22.18;-8.33;-10.71;
Municipios;1261;Robregordo;100.00;-50.00;0.00;300.00;25.00;-40.00;66.67;-60.00;-50.00;-100.00;0.00;100.00;50.00;-33.33;50.00;33.33;
Municipios;1277;Rozas de Madrid (Las);2.05;51.78;25.55;-0.61;11.95;9.91;-7.01;-7.25;-10.73;-9.70;-8.69;-6.89;5.91;15.20;-19.90;-9.24;
Municipios;1283;Rozas de Puerto Real;115.38;10.71;74.19;-14.81;28.26;1.69;-15.00;3.92;13.21;-48.33;6.45;-15.15;-21.43;90.91;-35.71;29.63;
Municipios;1296;San Agustín del Guadalix;28.31;64.18;24.96;8.24;9.94;13.26;-4.66;-10.87;-15.98;-1.89;-11.39;-12.02;0.00;29.60;-21.67;-8.22;
Municipios;1300;San Fernando de Henares;-1.74;71.17;11.85;8.36;7.42;9.48;-1.15;-11.04;-9.23;-15.46;-5.23;-10.02;3.05;22.38;-21.60;-9.02;
Municipios;1317;San Lorenzo de El Escorial;15.13;55.84;14.29;9.63;14.39;5.56;-5.19;-10.86;-4.95;-5.78;-6.13;-11.44;12.79;22.79;-22.29;-15.54;
Municipios;1338;San Martín de Valdeiglesias;15.35;56.65;19.86;3.89;19.58;10.40;-16.25;-4.08;-6.33;-13.07;-9.17;-10.38;1.72;25.23;-19.66;-3.98;
Municipios;1322;San Martín de la Vega;34.36;97.04;32.79;3.50;10.34;5.14;-5.14;-6.91;-11.60;-8.18;-15.06;-6.62;5.58;23.91;-22.12;-5.47;
Municipios;1343;San Sebastián de los Reyes;15.24;67.78;22.34;-1.42;11.88;9.59;-2.14;-9.65;-9.30;-12.72;-9.96;-7.48;1.38;22.11;-23.16;-7.52;
Municipios;1356;Santa María de la Alameda;67.57;17.74;41.10;-11.65;54.95;-8.51;-6.98;-0.83;-4.20;-10.53;0.98;-9.71;2.15;30.53;-20.16;8.08;
Municipios;1369;Santorcaz;43.24;49.06;-5.06;25.33;5.32;0.00;0.00;-17.17;-18.29;-10.45;-28.33;0.00;-6.98;20.00;4.17;6.00;
