Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Unidades productivas. Unidades productivas de la industria de la alimentación e industria textil. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;1343;San Sebastián de los Reyes;62;69;69;83;87;135;133;136;133;
Municipios;1356;Santa María de la Alameda;1;1;1;0;1;1;1;1;1;
Municipios;1369;Santorcaz;0;0;0;0;0;0;0;0;0;
Municipios;1375;Santos de la Humosa (Los);5;5;5;6;6;5;5;5;6;
Municipios;1381;Serna del Monte (La);0;0;0;0;0;0;0;0;0;
Municipios;1408;Serranillos del Valle;12;12;12;11;6;6;4;4;3;
Municipios;1415;Sevilla la Nueva;2;2;5;5;5;5;4;5;5;
Municipios;1436;Somosierra;0;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;7;6;6;11;10;8;8;7;7;
Municipios;1454;Talamanca de Jarama;6;6;6;5;5;4;4;5;5;
Municipios;1467;Tielmes;4;4;4;4;2;1;3;1;2;
Municipios;1473;Titulcia;1;1;2;3;2;1;1;2;2;
Municipios;1489;Torrejón de Ardoz;52;50;51;57;50;49;47;49;48;
Municipios;1505;Torrejón de Velasco;7;6;6;3;3;3;2;2;2;
Municipios;1492;Torrejón de la Calzada;11;9;7;5;8;9;8;10;9;
Municipios;1512;Torrelaguna;4;5;5;6;4;3;3;3;3;
Municipios;1527;Torrelodones;6;6;4;6;5;5;11;15;12;
Municipios;1533;Torremocha de Jarama;4;3;5;4;3;3;4;4;3;
Municipios;1548;Torres de la Alameda;17;17;18;17;20;20;19;20;18;
Municipios;9036;Tres Cantos;18;18;16;22;22;20;22;23;22;
Municipios;1551;Valdaracete;1;1;0;3;4;3;4;4;4;
Municipios;1564;Valdeavero;0;0;2;1;1;1;0;0;0;
Municipios;1570;Valdelaguna;3;2;2;2;1;3;2;2;2;
Municipios;1586;Valdemanco;1;1;0;0;0;1;0;1;1;
Municipios;1599;Valdemaqueda;2;2;2;2;2;2;2;2;2;
Municipios;1603;Valdemorillo;6;7;6;6;5;6;7;6;7;
Municipios;1610;Valdemoro;49;49;50;60;62;56;59;59;59;
Municipios;1625;Valdeolmos-Alalpardo;4;2;2;3;2;2;2;2;2;
Municipios;1631;Valdepiélagos;3;3;3;4;4;5;5;5;5;
Municipios;1646;Valdetorres de Jarama;3;2;2;3;1;0;0;2;2;
Municipios;1659;Valdilecha;4;4;4;5;5;5;4;4;4;
Municipios;1662;Valverde de Alcalá;0;0;0;0;0;0;0;0;0;
Municipios;1678;Velilla de San Antonio;18;12;10;9;9;12;10;10;8;
Municipios;1684;Vellón (El);3;3;3;4;6;7;6;7;7;
Municipios;1697;Venturada;1;1;2;2;2;2;2;2;2;
Municipios;1718;Villa del Prado;6;4;4;3;3;3;3;4;3;
Municipios;1701;Villaconejos;7;9;9;10;8;8;11;7;7;
Municipios;1723;Villalbilla;9;11;10;10;12;12;13;15;17;
Municipios;1739;Villamanrique de Tajo;0;0;1;1;0;1;1;1;1;
Municipios;1744;Villamanta;13;14;13;15;13;12;11;12;12;
Municipios;1757;Villamantilla;6;6;4;5;5;5;6;7;6;
Municipios;1782;Villanueva de Perales;1;1;1;1;1;0;0;0;0;
Municipios;1760;Villanueva de la Cañada;21;27;27;28;10;6;6;9;8;
Municipios;1776;Villanueva del Pardillo;5;4;6;4;5;6;6;12;14;
Municipios;1795;Villar del Olmo;0;0;1;1;3;2;2;2;2;
Municipios;1809;Villarejo de Salvanés;34;40;39;39;39;37;33;31;29;
Municipios;1816;Villaviciosa de Odón;20;17;16;21;22;18;18;15;16;
Municipios;1821;Villavieja del Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;1837;Zarzalejo;3;2;2;1;1;1;1;1;1;(A) Avance ;
Notas;
(Base 2015);
;
Datos a 1 de enero de cada año.;
;
Unidad productiva: Unidad básica en el espacio generadora de actividad económica, coincidiendo en la mayoría de los casos con conceptos análogos como el establecimiento o la unidad local. Sin embargo, la unidad productiva agrupa igualmente a las actividades móviles (sin local estable), así como las actividades de otros autónomos, que se localizan convencionalmente en la dirección postal que se declara que, en muchos casos, coincide con el domicilio familiar habitual del profesional.;
