Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0604;Fuentidueña de Tajo;77;63;177;147;100;84;15;9;8.53;6.87;192;156;92.19;94.23;7.81;5.77;-6.34;-18.75
Municipios;0611;Galapagar;619;545;1596;1510;977;965;87;107;4.83;4.58;1683;1617;94.83;93.38;5.17;6.62;-23.26;-3.92
Municipios;0626;Garganta de los Montes;2;4;19;21;17;17;1;1;5.06;5.24;20;22;95.00;95.45;5.00;4.55;-23.08;10.00
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7;7;27;21;20;14;0;1;7.48;5.67;27;22;100.00;95.45;0.00;4.55;12.50;-18.52
Municipios;0647;Gascones;4;5;9;9;5;4;4;1;6.13;4.37;13;10;69.23;90.00;30.77;10.00;18.18;-23.08
Municipios;0650;Getafe;3720;3352;9068;8413;5348;5061;733;753;5.35;4.93;9801;9166;92.52;91.78;7.48;8.22;-23.42;-6.48
Municipios;0663;Griñón;179;140;422;369;243;229;33;36;4.34;4.02;455;405;92.75;91.11;7.25;8.89;-14.31;-10.99
Municipios;0679;Guadalix de la Sierra;134;130;359;332;225;202;15;18;5.61;5.14;374;350;95.99;94.86;4.01;5.14;-18.70;-6.42
Municipios;0685;Guadarrama;292;260;716;670;424;410;63;57;4.60;4.26;779;727;91.91;92.16;8.09;7.84;-15.23;-6.68
Municipios;0698;Hiruela (La);1;1;2;2;1;1;0;0;2.67;2.70;2;2;100.00;100.00;0.00;0.00;0.00;0.00
Municipios;0702;Horcajo de la Sierra-Aoslos;6;4;9;8;3;4;0;0;4.48;3.42;9;8;100.00;100.00;0.00;0.00;-10.00;-11.11
Municipios;0719;Horcajuelo de la Sierra;1;2;3;3;2;1;0;0;2.73;2.78;3;3;100.00;100.00;0.00;0.00;-62.50;0.00
Municipios;0724;Hoyo de Manzanares;94;88;300;290;206;202;19;13;3.62;3.38;319;303;94.04;95.71;5.96;4.29;-23.50;-5.02
