Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Total contratos registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1646;Valdetorres de Jarama;390;432;332;256;331;345;284;400;305;302;307;359;341;383;348;285;396;548;447;
Municipios;1659;Valdilecha;341;427;418;235;232;212;216;165;194;314;389;478;803;784;547;348;368;460;433;
Municipios;1662;Valverde de Alcalá;38;52;81;65;41;39;58;34;31;26;378;112;302;256;67;20;102;320;413;
Municipios;1678;Velilla de San Antonio;2411;2472;2705;1613;1434;1390;1345;1385;1497;1544;1754;1518;1821;1866;2169;1919;2285;3134;3845;
Municipios;1684;Vellón (El);95;184;143;119;85;106;64;84;55;48;31;54;52;48;63;78;94;88;84;
Municipios;1697;Venturada;158;305;224;137;114;127;119;145;97;201;182;151;227;267;393;279;396;528;701;
Municipios;1718;Villa del Prado;756;826;780;754;1078;796;798;943;831;878;952;1091;1579;1064;1013;1163;1369;1209;965;
Municipios;1701;Villaconejos;727;673;682;512;560;530;464;475;497;471;433;394;631;585;540;524;524;446;415;
Municipios;1723;Villalbilla;1352;1744;1898;1554;1288;1486;1429;1467;1338;1341;1290;1603;1354;1631;1726;1589;1732;1539;1637;
Municipios;1739;Villamanrique de Tajo;55;72;67;43;55;119;118;64;39;51;71;195;146;137;417;187;285;192;378;
Municipios;1744;Villamanta;227;190;145;185;197;151;208;148;164;227;199;215;265;321;328;380;424;319;219;
Municipios;1757;Villamantilla;174;153;150;204;110;118;117;91;49;89;67;141;115;78;92;65;104;130;109;
Municipios;1782;Villanueva de Perales;159;161;177;199;222;177;229;214;135;228;155;143;132;148;168;106;147;404;307;
Municipios;1760;Villanueva de la Cañada;1977;2793;3298;3263;2524;2755;2912;3197;2723;3016;3138;3296;3519;4156;4587;3018;3666;4241;3365;
Municipios;1776;Villanueva del Pardillo;1166;1508;1610;1381;1240;1468;1264;1541;1210;1271;1446;1555;1835;1766;1992;1614;1722;1805;1795;
Municipios;1795;Villar del Olmo;1512;582;368;344;187;221;218;182;133;167;121;149;137;118;159;137;149;150;125;
Municipios;1809;Villarejo de Salvanés;1658;1892;1541;1295;997;1316;1729;1768;2515;2929;2947;3875;4007;3309;3182;3188;3855;1429;1279;
Municipios;1816;Villaviciosa de Odón;3938;4922;5050;4546;3401;3893;5751;7029;6682;7260;7195;7400;6796;6934;10140;4543;6867;5608;5501;
Municipios;1821;Villavieja del Lozoya;15;23;10;20;23;19;19;10;24;29;23;21;30;38;40;34;29;40;31;
Municipios;1837;Zarzalejo;214;212;210;254;218;323;241;106;72;149;152;189;433;303;284;215;187;214;146;
Notas;
Los contratos se contabilizan en función de la ubicación del municipio donde se sitúa el centro de trabajo.;
