Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado total. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1198;Quijorna;69;63;81;162;199;198;247;282;273;238;212;210;195;178;171;228;190;172;
Municipios;1202;Rascafría;41;40;42;73;118;115;142;128;117;143;116;83;79;75;76;94;90;74;
Municipios;1219;Redueña;4;7;12;15;15;15;20;20;21;20;14;14;11;12;11;30;13;14;
Municipios;1224;Ribatejada;22;22;26;48;57;55;63;66;75;81;72;57;68;56;61;70;62;52;
Municipios;1230;Rivas-Vaciamadrid;1758;1729;2046;3516;4379;4657;5107;5793;5854;5393;5025;4600;4330;4026;4159;5113;4177;4139;
Municipios;1245;Robledillo de la Jara;1;0;4;6;4;4;8;13;11;11;7;4;4;2;4;3;6;10;
Municipios;1258;Robledo de Chavela;133;132;153;247;291;277;359;391;332;322;330;275;263;241;275;336;308;275;
Municipios;1261;Robregordo;0;1;2;1;1;4;5;3;5;2;1;0;1;2;3;2;3;4;
Municipios;1277;Rozas de Madrid (Las);2049;2095;2138;3245;4074;4049;4533;4982;4633;4297;3836;3464;3163;2945;3119;3593;2878;2612;
Municipios;1283;Rozas de Puerto Real;20;13;28;31;54;46;59;60;51;53;60;31;33;28;22;42;27;35;
Municipios;1296;San Agustín del Guadalix;285;272;349;573;716;775;852;965;920;820;689;676;599;527;527;683;535;491;
Municipios;1300;San Fernando de Henares;1376;1666;1637;2802;3134;3396;3648;3994;3948;3512;3188;2695;2554;2298;2368;2898;2272;2067;
Municipios;1317;San Lorenzo de El Escorial;512;476;548;854;976;1070;1224;1292;1225;1092;1038;978;918;813;917;1126;875;739;
Municipios;1338;San Martín de Valdeiglesias;427;404;466;730;875;909;1087;1200;1005;964;903;785;713;639;650;814;654;628;
Municipios;1322;San Martín de la Vega;537;553;743;1464;1944;2012;2220;2334;2214;2061;1822;1673;1421;1327;1401;1736;1352;1278;
Municipios;1343;San Sebastián de los Reyes;2312;2389;2753;4619;5651;5571;6233;6831;6685;6040;5478;4781;4305;3983;4038;4931;3789;3504;
Municipios;1356;Santa María de la Alameda;31;37;62;73;103;91;141;129;120;119;114;102;103;93;95;124;99;107;
Municipios;1369;Santorcaz;30;37;53;79;75;94;99;99;99;82;67;60;43;43;40;48;50;53;
Municipios;1375;Santos de la Humosa (Los);49;59;90;178;207;208;211;252;234;202;193;165;171;148;138;173;150;130;
Municipios;1381;Serna del Monte (La);3;4;6;5;8;7;9;9;8;9;7;8;9;10;15;8;7;7;
Municipios;1408;Serranillos del Valle;110;96;130;204;258;232;309;363;377;354;302;290;235;242;241;290;239;220;
Municipios;1415;Sevilla la Nueva;264;262;318;493;615;648;708;815;748;716;624;541;525;469;490;626;447;404;
Municipios;1436;Somosierra;2;2;4;2;7;5;5;4;3;8;6;1;2;4;2;2;8;5;
Municipios;1441;Soto del Real;217;221;224;383;453;441;500;569;548;522;493;414;386;376;349;427;338;315;
Municipios;1454;Talamanca de Jarama;85;83;131;219;256;297;326;375;325;311;280;203;211;198;203;237;194;191;
Municipios;1467;Tielmes;52;57;108;171;232;262;303;368;332;284;285;248;239;232;204;249;208;196;
Municipios;1473;Titulcia;31;29;48;89;130;129;163;157;136;129;122;103;100;100;96;128;108;98;
Municipios;1489;Torrejón de Ardoz;4648;4865;5706;10033;11804;12156;13254;14391;14096;12920;11655;10116;9242;8595;8532;10442;8366;7523;
Municipios;1505;Torrejón de Velasco;153;167;191;257;292;316;366;410;413;363;332;289;254;221;223;255;213;189;
Municipios;1492;Torrejón de la Calzada;220;235;258;450;548;591;707;748;672;638;568;535;457;439;462;537;451;429;
Municipios;1512;Torrelaguna;132;143;158;358;414;418;479;441;424;397;354;348;289;246;255;291;247;240;
Municipios;1527;Torrelodones;467;460;448;705;862;812;972;1058;1004;922;807;784;728;670;758;924;749;656;
Municipios;1533;Torremocha de Jarama;22;15;20;36;53;61;71;67;58;59;57;42;52;56;37;52;46;46;
Municipios;1548;Torres de la Alameda;299;294;370;680;794;810;872;932;888;810;721;657;608;554;579;635;494;458;
Municipios;9036;Tres Cantos;949;943;985;1495;1798;1851;2002;2269;2152;2062;1956;1731;1634;1504;1618;1896;1594;1380;
Municipios;1551;Valdaracete;43;58;59;85;77;76;102;106;99;88;74;58;61;58;66;63;60;54;
Municipios;1564;Valdeavero;45;36;44;84;124;129;133;148;153;119;122;101;109;90;112;122;112;92;
Municipios;1570;Valdelaguna;34;30;40;67;97;79;101;110;87;66;74;68;63;59;59;70;71;61;
Municipios;1586;Valdemanco;22;22;34;47;61;65;69;72;72;61;65;55;49;43;45;54;50;44;
Municipios;1599;Valdemaqueda;43;27;41;93;109;118;143;143;113;109;102;83;75;78;78;83;67;56;
Municipios;1603;Valdemorillo;324;331;422;611;748;768;887;898;862;736;762;693;663;619;668;803;633;627;
Municipios;1610;Valdemoro;2514;2587;3045;4965;5927;6165;6720;7199;6968;6468;5823;5322;4842;4644;4711;5608;4428;4085;
Municipios;1625;Valdeolmos-Alalpardo;63;63;68;126;168;166;195;219;245;220;188;171;154;139;146;192;164;127;
