Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de 25 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0493;Coslada;86.94;86.89;87.54;84.64;86.85;87.92;87.80;89.44;91.43;92.44;92.86;93.49;93.08;92.99;93.31;91.62;92.78;93.54;
Municipios;0506;Cubas de la Sagra;92.38;90.83;87.66;86.11;88.41;89.84;89.17;90.61;92.97;92.82;92.96;93.88;92.66;92.58;93.49;89.31;92.05;87.59;
Municipios;0534;Daganzo de Arriba;88.39;91.79;87.54;87.36;88.91;87.56;90.48;90.55;89.92;91.30;90.61;94.50;94.63;93.10;92.14;88.44;93.84;90.79;
Municipios;0549;Escorial (El);89.23;91.10;89.42;86.80;89.22;89.72;90.62;91.30;92.47;90.09;94.27;93.87;93.22;93.16;94.17;92.42;93.44;94.34;
Municipios;0552;Estremera;82.50;86.21;85.71;83.87;88.99;92.66;87.96;88.81;87.70;88.03;87.85;92.31;94.12;89.89;96.81;93.64;94.44;96.81;
Municipios;0565;Fresnedillas de la Oliva;93.10;95.16;84.78;86.67;83.89;86.25;90.55;89.22;90.00;90.40;95.93;94.16;95.68;93.44;93.91;92.41;94.57;94.21;
Municipios;0571;Fresno de Torote;89.23;91.94;84.44;85.53;86.36;89.31;90.40;91.46;90.50;90.69;93.33;92.62;91.33;90.76;92.31;92.59;92.90;90.40;
Municipios;0587;Fuenlabrada;82.39;83.31;82.48;82.19;84.43;85.52;86.41;88.37;89.70;90.60;91.03;91.49;91.20;90.66;90.57;89.85;91.95;90.10;
Municipios;0590;Fuente el Saz de Jarama;91.82;87.50;89.55;87.38;89.92;89.08;89.22;89.18;89.32;91.62;92.43;93.90;93.95;91.33;92.81;89.01;93.28;91.76;
Municipios;0604;Fuentidueña de Tajo;87.25;85.59;84.62;83.63;84.55;84.00;82.59;86.94;87.16;89.96;87.06;88.84;89.42;94.77;92.64;92.68;92.19;94.23;
Municipios;0611;Galapagar;91.09;91.28;90.59;88.74;89.15;88.58;89.47;92.53;92.25;92.46;93.23;93.04;93.56;92.66;93.27;91.93;94.83;93.38;
Municipios;0626;Garganta de los Montes;87.50;83.33;95.65;88.46;84.38;80.00;78.05;82.61;86.11;94.44;100.00;96.30;95.45;95.24;96.55;88.46;95.00;95.45;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;85.71;100.00;95.65;88.89;96.30;96.55;97.06;97.14;93.94;96.55;100.00;93.75;100.00;95.00;100.00;100.00;100.00;95.45;
