Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Evolución del porcentaje de paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Municipios;0843;Mejorada del Campo;0.11;0.53;4.01;1.14;-0.01;0.64;0.68;-0.09;-1.32;-0.96;0.86;-0.74;-0.48;0.07;1.25;-1.81;
Municipios;0856;Miraflores de la Sierra;0.56;0.08;3.01;1.03;0.94;1.33;1.17;-0.99;-0.17;-0.79;0.74;-0.78;-1.48;0.19;0.44;-1.14;
Municipios;0869;Molar (El);0.27;1.10;2.82;1.20;-0.21;0.93;0.32;0.34;-0.64;-1.10;0.98;-0.74;-0.81;-0.03;1.20;-1.44;
Municipios;0875;Molinos (Los);-0.40;0.67;1.98;0.89;0.00;1.66;0.16;0.68;-0.39;-0.71;-1.13;-0.18;-0.38;-0.35;0.88;-1.44;
Municipios;0881;Montejo de la Sierra;-0.30;0.45;-0.55;4.36;-1.85;0.60;-0.62;1.33;-0.69;0.19;0.52;-1.18;-0.76;2.95;-2.21;-0.06;
Municipios;0894;Moraleja de Enmedio;-0.22;1.51;3.08;0.39;0.46;1.01;1.15;-0.86;-1.77;-0.96;0.34;-0.90;-0.23;-0.21;0.92;-1.56;
Municipios;0908;Moralzarzal;-0.03;0.77;1.98;1.10;-0.33;1.18;0.13;-0.74;-0.98;-0.35;0.79;-0.25;-0.48;0.42;0.66;-1.33;
Municipios;0915;Morata de Tajuña;0.24;0.61;4.02;2.17;-0.20;2.22;0.93;-1.14;-1.20;-1.31;-1.08;-0.72;-0.71;0.05;0.97;-1.63;
Municipios;0920;Móstoles;-0.04;0.54;2.84;1.03;0.14;0.86;1.01;-0.59;-1.12;-0.96;-1.06;-0.72;-0.73;0.07;1.16;-1.57;
Municipios;0936;Navacerrada;0.21;0.26;0.68;0.48;0.01;0.90;0.61;0.04;-1.14;-0.65;0.71;-1.13;0.50;0.43;1.16;-1.49;
Municipios;0941;Navalafuente;0.06;1.70;4.92;1.10;-1.69;3.00;-0.28;-1.28;-1.32;1.05;-2.72;0.00;-1.42;0.10;1.43;-2.42;
Municipios;0954;Navalagamella;0.68;0.58;3.30;2.11;0.53;0.48;-0.44;0.86;-0.84;-1.08;-1.10;-0.98;-0.56;0.50;0.12;-0.75;
Municipios;0967;Navalcarnero;-0.18;0.60;3.17;1.16;0.01;1.06;0.99;-0.75;-0.77;-1.01;-1.22;-0.88;-0.79;0.01;1.07;-1.19;
Municipios;0973;Navarredonda y San Mamés;2.16;-0.90;2.98;-1.35;1.19;-0.51;2.85;-2.39;1.93;-2.81;1.56;-4.47;3.79;0.00;-1.88;0.80;
Municipios;0992;Navas del Rey;-0.25;0.80;3.80;2.28;-0.73;2.73;0.95;-0.93;0.25;-1.82;-1.86;-1.35;-1.30;0.01;0.90;-1.82;
Municipios;1006;Nuevo Baztán;-0.30;0.91;2.47;1.73;0.07;0.46;0.88;0.21;-1.22;-1.34;0.73;-0.66;-0.17;0.55;1.23;-2.21;
Municipios;1013;Olmeda de las Fuentes;0.41;-0.41;1.82;0.11;0.55;-0.81;1.14;-0.47;-1.26;0.20;-2.51;1.61;-0.03;0.03;-0.70;-0.73;
Municipios;1028;Orusco de Tajuña;-0.19;-0.43;2.93;3.58;-0.62;2.21;0.76;-0.98;-2.23;-0.93;-1.01;-0.22;-0.11;-0.24;1.73;-1.83;
Municipios;1049;Paracuellos de Jarama;-0.25;0.23;1.49;0.87;-0.27;0.86;0.11;-0.48;-0.45;-0.84;0.31;-0.15;-0.41;-0.08;0.91;-0.84;
Municipios;1065;Parla;0.06;1.02;4.00;1.89;-0.28;1.11;0.56;-0.58;-1.25;-1.00;-1.44;-0.90;-0.67;0.05;1.26;-1.77;
Municipios;1071;Patones;-2.06;0.20;1.04;1.12;-0.40;1.29;-0.37;-1.44;0.25;1.94;-1.99;-0.13;-1.25;0.01;1.80;-1.79;
Municipios;1087;Pedrezuela;0.59;0.23;2.45;1.72;0.27;1.07;0.38;-0.61;-1.03;-0.20;0.58;-1.24;-0.44;-0.15;0.98;-1.28;
Municipios;1090;Pelayos de la Presa;0.27;1.89;2.08;3.55;0.32;-0.26;1.47;-2.16;-0.02;-0.28;0.26;-0.68;-1.52;-0.55;2.56;-2.53;
Municipios;1104;Perales de Tajuña;0.03;0.50;3.96;1.46;0.78;2.30;-0.27;-0.80;-0.05;-0.31;-1.77;0.87;-0.91;0.00;1.10;-1.25;
Municipios;1111;Pezuela de las Torres;-0.44;0.42;3.39;2.32;1.23;0.86;-0.40;-0.71;-2.40;-1.74;0.07;-0.77;-0.61;-0.25;1.65;-2.17;
Municipios;1126;Pinilla del Valle;5.77;-2.87;-1.80;0.77;2.75;1.33;-0.29;1.65;-2.27;-1.79;0.34;-1.12;-0.60;2.65;0.33;-0.57;
Municipios;1132;Pinto;-0.07;0.97;2.94;1.38;-0.03;0.83;0.87;-0.49;-0.88;-0.99;-1.12;-0.49;-0.63;0.28;1.02;-1.66;
Municipios;1147;Piñuécar-Gandullas;0.54;0.37;0.33;2.29;0.11;0.78;1.95;-3.28;1.04;-0.91;-1.57;2.65;-3.23;2.92;1.94;-4.30;
Municipios;1150;Pozuelo de Alarcón;-0.02;0.20;0.93;0.70;-0.03;0.28;0.16;-0.20;-0.37;-0.58;0.15;-0.30;-0.15;0.03;0.46;-0.63;
Municipios;1163;Pozuelo del Rey;0.03;2.37;1.39;2.27;-0.37;0.70;0.74;-0.02;-2.69;0.08;-1.64;0.06;-0.67;1.16;1.58;-2.46;
Municipios;1179;Prádena del Rincón;0.81;-1.91;3.11;3.71;-0.15;-2.22;1.64;1.88;-6.51;2.62;-2.93;0.49;-1.71;-0.16;-0.39;0.71;
Municipios;1185;Puebla de la Sierra;-0.27;-3.65;2.70;4.47;-2.23;-0.83;7.45;0.75;-2.29;-4.90;0.50;-4.89;6.03;-0.84;-2.85;-1.62;
Municipios;9020;Puentes Viejas;-2.56;1.00;0.49;2.56;-1.66;1.14;-0.25;2.09;-1.12;-0.58;0.26;-0.12;-1.30;-1.47;0.84;-1.40;
Municipios;1198;Quijorna;-0.52;0.35;2.77;1.22;-0.40;1.31;0.95;-0.36;-1.03;-0.90;0.15;-0.59;-0.63;-0.35;1.52;-1.19;
Municipios;1202;Rascafría;-0.22;0.09;1.61;2.23;-0.09;1.47;-0.50;-0.25;1.72;-1.37;-1.89;-0.21;-0.24;-0.10;0.95;-0.17;
Municipios;1219;Redueña;0.91;1.85;0.87;0.02;-0.08;1.55;0.17;0.43;0.25;-2.36;0.28;-1.19;0.16;-0.54;6.13;-5.84;
Municipios;1224;Ribatejada;-0.29;0.24;3.36;1.01;-0.29;1.09;-0.01;1.40;0.57;-1.01;-2.33;1.51;-2.48;0.46;0.50;-0.99;
Municipios;1230;Rivas-Vaciamadrid;-0.38;0.25;1.98;1.04;0.21;0.38;0.65;-0.14;-0.65;-0.54;0.58;-0.45;-0.47;0.00;0.93;-1.18;
Municipios;1245;Robledillo de la Jara;-0.82;3.08;1.33;-0.16;-0.37;3.66;5.20;-2.07;0.32;-3.93;-2.47;0.00;-2.10;1.71;-1.12;2.17;
Municipios;1258;Robledo de Chavela;-0.34;0.39;2.42;1.03;-0.57;1.91;0.60;-1.23;-0.08;0.11;-1.50;-0.43;-0.68;0.66;1.20;-0.79;
