Codigo_Valor,Nombre,Valor,Year,Indicador,lau_id
2.9-2023-28177,Villanueva del Pardillo,28.83,2023,2.9,28177
2.9-2023-28179,Villar del Olmo,48.941,2023,2.9,28179
2.9-2023-28180,Villarejo de Salvanés,50.672,2023,2.9,28180
2.9-2023-28181,Villaviciosa de Odón,26.157,2023,2.9,28181
2.9-2023-28182,Villavieja del Lozoya,80.015,2023,2.9,28182
2.9-2023-28183,Zarzalejo,65.28,2023,2.9,28183
2.10-2023-28001,Acebeda (La),6,2023,2.10,28001
2.10-2023-28002,Ajalvir,3,2023,2.10,28002
2.10-2023-28003,Alameda del Valle,6,2023,2.10,28003
2.10-2023-28004,Alamo (El),9,2023,2.10,28004
2.10-2023-28005,Alcalá de Henares,3,2023,2.10,28005
2.10-2023-28006,Alcobendas,2,2023,2.10,28006
2.10-2023-28007,Alcorcón,4,2023,2.10,28007
2.10-2023-28008,Aldea del Fresno,9,2023,2.10,28008
2.10-2023-28009,Algete,2,2023,2.10,28009
2.10-2023-28010,Alpedrete,11,2023,2.10,28010
2.10-2023-28011,Ambite,8,2023,2.10,28011
2.10-2023-28012,Anchuelo,8,2023,2.10,28012
2.10-2023-28013,Aranjuez,4,2023,2.10,28013
2.10-2023-28014,Arganda del Rey,3,2023,2.10,28014
2.10-2023-28015,Arroyomolinos,9,2023,2.10,28015
2.10-2023-28016,Atazar (El),6,2023,2.10,28016
2.10-2023-28017,Batres,9,2023,2.10,28017
2.10-2023-28018,Becerril de la Sierra,11,2023,2.10,28018
2.10-2023-28019,Belmonte de Tajo,8,2023,2.10,28019
2.10-2023-28021,Berrueco (El),6,2023,2.10,28021
2.10-2023-28020,Berzosa del Lozoya,6,2023,2.10,28020
2.10-2023-28022,Boadilla del Monte,5,2023,2.10,28022
2.10-2023-28023,Boalo (El),11,2023,2.10,28023
2.10-2023-28024,Braojos,6,2023,2.10,28024
2.10-2023-28025,Brea de Tajo,8,2023,2.10,28025
2.10-2023-28026,Brunete,5,2023,2.10,28026
2.10-2023-28027,Buitrago del Lozoya,6,2023,2.10,28027
2.10-2023-28028,Bustarviejo,6,2023,2.10,28028
2.10-2023-28029,Cabanillas de la Sierra,6,2023,2.10,28029
2.10-2023-28030,Cabrera (La),6,2023,2.10,28030
2.10-2023-28031,Cadalso de los Vidrios,10,2023,2.10,28031
2.10-2023-28032,Camarma de Esteruelas,7,2023,2.10,28032
2.10-2023-28033,Campo Real,8,2023,2.10,28033
2.10-2023-28034,Canencia,6,2023,2.10,28034
2.10-2023-28035,Carabaña,8,2023,2.10,28035
2.10-2023-28036,Casarrubuelos,9,2023,2.10,28036
2.10-2023-28037,Cenicientos,10,2023,2.10,28037
2.10-2023-28038,Cercedilla,11,2023,2.10,28038
2.10-2023-28039,Cervera de Buitrago,6,2023,2.10,28039
2.10-2023-28051,Chapinería,10,2023,2.10,28051
2.10-2023-28052,Chinchón,8,2023,2.10,28052
2.10-2023-28040,Ciempozuelos,4,2023,2.10,28040
2.10-2023-28041,Cobeña,2,2023,2.10,28041
2.10-2023-28046,Collado Mediano,11,2023,2.10,28046
2.10-2023-28047,Collado Villalba,5,2023,2.10,28047
2.10-2023-28045,Colmenar Viejo,2,2023,2.10,28045
2.10-2023-28043,Colmenar de Oreja,8,2023,2.10,28043
2.10-2023-28042,Colmenar del Arroyo,10,2023,2.10,28042
2.10-2023-28044,Colmenarejo,11,2023,2.10,28044
2.10-2023-28048,Corpa,8,2023,2.10,28048
2.10-2023-28049,Coslada,3,2023,2.10,28049
2.10-2023-28050,Cubas de la Sagra,9,2023,2.10,28050
2.10-2023-28053,Daganzo de Arriba,7,2023,2.10,28053
2.10-2023-28054,Escorial (El),11,2023,2.10,28054
2.10-2023-28055,Estremera,8,2023,2.10,28055
2.10-2023-28056,Fresnedillas de la Oliva,10,2023,2.10,28056
2.10-2023-28057,Fresno de Torote,7,2023,2.10,28057
2.10-2023-28058,Fuenlabrada,4,2023,2.10,28058
2.10-2023-28059,Fuente el Saz de Jarama,7,2023,2.10,28059
2.10-2023-28060,Fuentidueña de Tajo,8,2023,2.10,28060
2.10-2023-28061,Galapagar,5,2023,2.10,28061
2.10-2023-28062,Garganta de los Montes,6,2023,2.10,28062
2.10-2023-28063,Gargantilla del Lozoya y Pinilla de Buitrago,6,2023,2.10,28063
2.10-2023-28064,Gascones,6,2023,2.10,28064
2.10-2023-28065,Getafe,4,2023,2.10,28065
2.10-2023-28066,Griñón,9,2023,2.10,28066
2.10-2023-28067,Guadalix de la Sierra,6,2023,2.10,28067
2.10-2023-28068,Guadarrama,11,2023,2.10,28068
2.10-2023-28069,Hiruela (La),6,2023,2.10,28069
2.10-2023-28070,Horcajo de la Sierra-Aoslos,6,2023,2.10,28070
2.10-2023-28071,Horcajuelo de la Sierra,6,2023,2.10,28071
2.10-2023-28072,Hoyo de Manzanares,5,2023,2.10,28072
2.10-2023-28073,Humanes de Madrid,4,2023,2.10,28073
2.10-2023-28074,Leganés,4,2023,2.10,28074
2.10-2023-28075,Loeches,8,2023,2.10,28075
2.10-2023-28076,Lozoya,6,2023,2.10,28076
2.10-2023-28901,Lozoyuela-Navas-Sieteiglesias,6,2023,2.10,28901
2.10-2023-28078,Madarcos,6,2023,2.10,28078
2.10-2023-28080,Majadahonda,5,2023,2.10,28080
2.10-2023-28082,Manzanares el Real,11,2023,2.10,28082
2.10-2023-28083,Meco,7,2023,2.10,28083
2.10-2023-28084,Mejorada del Campo,3,2023,2.10,28084
2.10-2023-28085,Miraflores de la Sierra,11,2023,2.10,28085
2.10-2023-28086,Molar (El),7,2023,2.10,28086
2.10-2023-28087,Molinos (Los),11,2023,2.10,28087
2.10-2023-28088,Montejo de la Sierra,6,2023,2.10,28088
2.10-2023-28089,Moraleja de Enmedio,9,2023,2.10,28089
2.10-2023-28090,Moralzarzal,11,2023,2.10,28090
2.10-2023-28091,Morata de Tajuña,8,2023,2.10,28091
2.10-2023-28092,Móstoles,4,2023,2.10,28092
2.10-2023-28093,Navacerrada,11,2023,2.10,28093
2.10-2023-28094,Navalafuente,6,2023,2.10,28094
2.10-2023-28095,Navalagamella,10,2023,2.10,28095
2.10-2023-28096,Navalcarnero,9,2023,2.10,28096
2.10-2023-28097,Navarredonda y San Mamés,6,2023,2.10,28097
2.10-2023-28099,Navas del Rey,10,2023,2.10,28099
2.10-2023-28100,Nuevo Baztán,8,2023,2.10,28100
2.10-2023-28101,Olmeda de las Fuentes,8,2023,2.10,28101
2.10-2023-28102,Orusco de Tajuña,8,2023,2.10,28102
2.10-2023-28104,Paracuellos de Jarama,3,2023,2.10,28104
2.10-2023-28106,Parla,4,2023,2.10,28106
2.10-2023-28107,Patones,6,2023,2.10,28107
2.10-2023-28108,Pedrezuela,6,2023,2.10,28108
2.10-2023-28109,Pelayos de la Presa,10,2023,2.10,28109
2.10-2023-28110,Perales de Tajuña,8,2023,2.10,28110
2.10-2023-28111,Pezuela de las Torres,8,2023,2.10,28111
2.10-2023-28112,Pinilla del Valle,6,2023,2.10,28112
2.10-2023-28113,Pinto,4,2023,2.10,28113
2.10-2023-28114,Piñuécar-Gandullas,6,2023,2.10,28114
2.10-2023-28115,Pozuelo de Alarcón,5,2023,2.10,28115
2.10-2023-28116,Pozuelo del Rey,8,2023,2.10,28116
2.10-2023-28117,Prádena del Rincón,6,2023,2.10,28117
2.10-2023-28118,Puebla de la Sierra,6,2023,2.10,28118
2.10-2023-28902,Puentes Viejas,6,2023,2.10,28902
2.10-2023-28119,Quijorna,9,2023,2.10,28119
2.10-2023-28120,Rascafría,6,2023,2.10,28120
2.10-2023-28121,Redueña,6,2023,2.10,28121
2.10-2023-28122,Ribatejada,7,2023,2.10,28122
2.10-2023-28123,Rivas-Vaciamadrid,3,2023,2.10,28123
2.10-2023-28124,Robledillo de la Jara,6,2023,2.10,28124
2.10-2023-28125,Robledo de Chavela,10,2023,2.10,28125
2.10-2023-28126,Robregordo,6,2023,2.10,28126
2.10-2023-28127,Rozas de Madrid (Las),5,2023,2.10,28127
2.10-2023-28128,Rozas de Puerto Real,10,2023,2.10,28128
2.10-2023-28129,San Agustín del Guadalix,2,2023,2.10,28129
2.10-2023-28130,San Fernando de Henares,3,2023,2.10,28130
2.10-2023-28131,San Lorenzo de El Escorial,11,2023,2.10,28131
2.10-2023-28133,San Martín de Valdeiglesias,10,2023,2.10,28133
2.10-2023-28132,San Martín de la Vega,4,2023,2.10,28132
2.10-2023-28134,San Sebastián de los Reyes,2,2023,2.10,28134
2.10-2023-28135,Santa María de la Alameda,10,2023,2.10,28135
2.10-2023-28136,Santorcaz,8,2023,2.10,28136
2.10-2023-28137,Santos de la Humosa (Los),8,2023,2.10,28137
2.10-2023-28138,Serna del Monte (La),6,2023,2.10,28138
2.10-2023-28140,Serranillos del Valle,9,2023,2.10,28140
2.10-2023-28141,Sevilla la Nueva,9,2023,2.10,28141
2.10-2023-28143,Somosierra,6,2023,2.10,28143
2.10-2023-28144,Soto del Real,11,2023,2.10,28144
2.10-2023-28145,Talamanca de Jarama,7,2023,2.10,28145
2.10-2023-28146,Tielmes,8,2023,2.10,28146
2.10-2023-28147,Titulcia,8,2023,2.10,28147
2.10-2023-28148,Torrejón de Ardoz,3,2023,2.10,28148
2.10-2023-28150,Torrejón de Velasco,9,2023,2.10,28150
2.10-2023-28149,Torrejón de la Calzada,9,2023,2.10,28149
2.10-2023-28151,Torrelaguna,6,2023,2.10,28151
2.10-2023-28152,Torrelodones,5,2023,2.10,28152
2.10-2023-28153,Torremocha de Jarama,6,2023,2.10,28153
2.10-2023-28154,Torres de la Alameda,8,2023,2.10,28154
2.10-2023-28903,Tres Cantos,2,2023,2.10,28903
2.10-2023-28155,Valdaracete,8,2023,2.10,28155
2.10-2023-28156,Valdeavero,7,2023,2.10,28156
2.10-2023-28157,Valdelaguna,8,2023,2.10,28157
2.10-2023-28158,Valdemanco,6,2023,2.10,28158
2.10-2023-28159,Valdemaqueda,10,2023,2.10,28159
2.10-2023-28160,Valdemorillo,11,2023,2.10,28160
2.10-2023-28161,Valdemoro,4,2023,2.10,28161
2.10-2023-28162,Valdeolmos-Alalpardo,7,2023,2.10,28162
2.10-2023-28163,Valdepiélagos,7,2023,2.10,28163
2.10-2023-28164,Valdetorres de Jarama,7,2023,2.10,28164
2.10-2023-28165,Valdilecha,8,2023,2.10,28165
2.10-2023-28166,Valverde de Alcalá,8,2023,2.10,28166
2.10-2023-28167,Velilla de San Antonio,3,2023,2.10,28167
2.10-2023-28168,Vellón (El),6,2023,2.10,28168
2.10-2023-28169,Venturada,6,2023,2.10,28169
2.10-2023-28171,Villa del Prado,9,2023,2.10,28171
2.10-2023-28170,Villaconejos,8,2023,2.10,28170
2.10-2023-28172,Villalbilla,8,2023,2.10,28172
2.10-2023-28173,Villamanrique de Tajo,8,2023,2.10,28173
2.10-2023-28174,Villamanta,9,2023,2.10,28174
2.10-2023-28175,Villamantilla,9,2023,2.10,28175
2.10-2023-28178,Villanueva de Perales,9,2023,2.10,28178
2.10-2023-28176,Villanueva de la Cañada,5,2023,2.10,28176
2.10-2023-28177,Villanueva del Pardillo,11,2023,2.10,28177
2.10-2023-28179,Villar del Olmo,8,2023,2.10,28179
2.10-2023-28180,Villarejo de Salvanés,8,2023,2.10,28180
2.10-2023-28181,Villaviciosa de Odón,5,2023,2.10,28181
2.10-2023-28182,Villavieja del Lozoya,6,2023,2.10,28182
2.10-2023-28183,Zarzalejo,10,2023,2.10,28183
2.11-2023-28001,Acebeda (La),21.86,2023,2.11,28001
2.11-2023-28002,Ajalvir,19.8,2023,2.11,28002
2.11-2023-28003,Alameda del Valle,25.7,2023,2.11,28003
2.11-2023-28004,Alamo (El),22.0,2023,2.11,28004
2.11-2023-28005,Alcalá de Henares,88.11,2023,2.11,28005
2.11-2023-28006,Alcobendas,45.24,2023,2.11,28006
2.11-2023-28007,Alcorcón,33.57,2023,2.11,28007
2.11-2023-28008,Aldea del Fresno,51.66,2023,2.11,28008
2.11-2023-28009,Algete,38.01,2023,2.11,28009
2.11-2023-28010,Alpedrete,12.66,2023,2.11,28010
2.11-2023-28011,Ambite,51.6,2023,2.11,28011
2.11-2023-28012,Anchuelo,21.59,2023,2.11,28012
2.11-2023-28013,Aranjuez,189.01,2023,2.11,28013
2.11-2023-28014,Arganda del Rey,80.27,2023,2.11,28014
2.11-2023-28015,Arroyomolinos,20.78,2023,2.11,28015
2.11-2023-28016,Atazar (El),28.43,2023,2.11,28016
2.11-2023-28017,Batres,21.36,2023,2.11,28017
2.11-2023-28018,Becerril de la Sierra,29.64,2023,2.11,28018
2.11-2023-28019,Belmonte de Tajo,24.07,2023,2.11,28019
2.11-2023-28021,Berrueco (El),28.4,2023,2.11,28021
2.11-2023-28020,Berzosa del Lozoya,14.62,2023,2.11,28020
2.11-2023-28022,Boadilla del Monte,47.38,2023,2.11,28022
2.11-2023-28023,Boalo (El),39.4,2023,2.11,28023
2.11-2023-28024,Braojos,24.93,2023,2.11,28024
2.11-2023-28025,Brea de Tajo,44.73,2023,2.11,28025
2.11-2023-28026,Brunete,49.17,2023,2.11,28026
2.11-2023-28027,Buitrago del Lozoya,25.92,2023,2.11,28027
2.11-2023-28028,Bustarviejo,56.13,2023,2.11,28028
2.11-2023-28029,Cabanillas de la Sierra,13.81,2023,2.11,28029
2.11-2023-28030,Cabrera (La),22.14,2023,2.11,28030
2.11-2023-28031,Cadalso de los Vidrios,47.84,2023,2.11,28031
2.11-2023-28032,Camarma de Esteruelas,35.15,2023,2.11,28032
2.11-2023-28033,Campo Real,61.75,2023,2.11,28033
2.11-2023-28034,Canencia,54.18,2023,2.11,28034
2.11-2023-28035,Carabaña,47.64,2023,2.11,28035
2.11-2023-28036,Casarrubuelos,5.33,2023,2.11,28036
2.11-2023-28037,Cenicientos,68.25,2023,2.11,28037
2.11-2023-28038,Cercedilla,40.82,2023,2.11,28038
2.11-2023-28039,Cervera de Buitrago,11.54,2023,2.11,28039
2.11-2023-28051,Chapinería,25.55,2023,2.11,28051
2.11-2023-28052,Chinchón,115.79,2023,2.11,28052
2.11-2023-28040,Ciempozuelos,49.41,2023,2.11,28040
2.11-2023-28041,Cobeña,20.79,2023,2.11,28041
2.11-2023-28046,Collado Mediano,22.19,2023,2.11,28046
2.11-2023-28047,Collado Villalba,25.19,2023,2.11,28047
2.11-2023-28045,Colmenar Viejo,182.88,2023,2.11,28045
2.11-2023-28043,Colmenar de Oreja,126.33,2023,2.11,28043
2.11-2023-28042,Colmenar del Arroyo,49.31,2023,2.11,28042
2.11-2023-28044,Colmenarejo,31.49,2023,2.11,28044
2.11-2023-28048,Corpa,25.94,2023,2.11,28048
2.11-2023-28049,Coslada,12.02,2023,2.11,28049
2.11-2023-28050,Cubas de la Sagra,12.89,2023,2.11,28050
2.11-2023-28053,Daganzo de Arriba,43.4,2023,2.11,28053
2.11-2023-28054,Escorial (El),68.81,2023,2.11,28054
2.11-2023-28055,Estremera,79.13,2023,2.11,28055
2.11-2023-28056,Fresnedillas de la Oliva,28.34,2023,2.11,28056
2.11-2023-28057,Fresno de Torote,31.75,2023,2.11,28057
2.11-2023-28058,Fuenlabrada,39.18,2023,2.11,28058
2.11-2023-28059,Fuente el Saz de Jarama,33.15,2023,2.11,28059
2.11-2023-28060,Fuentidueña de Tajo,60.18,2023,2.11,28060
2.11-2023-28061,Galapagar,65.2,2023,2.11,28061
2.11-2023-28062,Garganta de los Montes,40.33,2023,2.11,28062
