Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de inmobiliarias. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1533;Torremocha de Jarama;13;11;7;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1548;Torres de la Alameda;7;-;5;-;-;-;-;-;-;5;-;-;5;10;10;
Municipios;9036;Tres Cantos;153;70;62;70;65;106;122;131;148;155;121;115;165;165;165;
Municipios;1551;Valdaracete;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1564;Valdeavero;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1570;Valdelaguna;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1586;Valdemanco;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1599;Valdemaqueda;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5;
Municipios;1603;Valdemorillo;32;32;25;22;24;30;33;41;42;46;24;31;40;45;45;
Municipios;1610;Valdemoro;67;72;59;56;69;63;79;92;114;109;113;113;110;115;130;
Municipios;1625;Valdeolmos-Alalpardo;-;-;5;-;12;11;14;15;17;24;16;17;10;10;10;
Municipios;1631;Valdepiélagos;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1646;Valdetorres de Jarama;-;-;-;-;-;-;9;10;10;15;17;19;20;30;30;
Municipios;1659;Valdilecha;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1662;Valverde de Alcalá;-;-;6;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1678;Velilla de San Antonio;12;20;19;18;19;18;12;13;13;16;16;24;20;25;25;
Municipios;1684;Vellón (El);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1697;Venturada;-;6;5;-;5;-;-;6;-;5;6;10;10;10;10;
Municipios;1718;Villa del Prado;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;
Municipios;1701;Villaconejos;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;
Municipios;1723;Villalbilla;17;18;13;21;22;24;24;25;26;32;30;31;35;35;35;
Municipios;1739;Villamanrique de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1744;Villamanta;-;-;-;-;-;-;-;-;-;-;-;-;0;5;10;
Municipios;1757;Villamantilla;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1782;Villanueva de Perales;-;-;-;-;-;5;7;6;6;6;6;6;5;5;5;
Municipios;1760;Villanueva de la Cañada;63;64;55;59;61;64;77;81;121;133;131;128;140;155;155;
Municipios;1776;Villanueva del Pardillo;24;25;24;23;25;34;37;43;52;58;53;51;55;70;60;
Municipios;1795;Villar del Olmo;-;-;-;-;-;5;10;7;-;-;-;-;5;5;5;
Municipios;1809;Villarejo de Salvanés;-;-;-;-;-;20;13;25;19;17;-;-;5;5;5;
Municipios;1816;Villaviciosa de Odón;95;107;97;105;104;111;132;140;162;172;177;170;220;230;260;
Municipios;1821;Villavieja del Lozoya;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1837;Zarzalejo;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;9999;Sin municipio asignado;141;144;150;156;175;193;217;250;270;309;329;319;345;390;455;
Notas;
Los datos se refieren a 31 de diciembre y el municipio es en el que se ubica  el centro de trabajo.;
;
Hasta el año 2020 "-": Dato <5. No se visualizan por secreto estadístico.;
;
A partir del año 2021: para asegurar el secreto estadístico todos los datos, excepto el total, están redondeados al múltiplo de 5 más cercano. Por esta razón, los totales no tienen por qué coincidir con la suma de su desagregación.;
