Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por grupo de cotización. Afiliados a la Seguridad Social del grupo de cotización de trabajadores menores de dieciocho años residentes. Unidad: Número. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1548;Torres de la Alameda;4;1;1;1;3;2;1;2;2;1;
Municipios;9036;Tres Cantos;2;3;2;2;1;1;1;2;1;0;
Municipios;1551;Valdaracete;2;2;1;0;0;0;0;0;0;0;
Municipios;1564;Valdeavero;0;0;0;0;1;1;0;0;0;0;
Municipios;1570;Valdelaguna;0;0;0;0;0;0;0;0;0;0;
Municipios;1586;Valdemanco;0;0;0;0;0;0;0;0;0;0;
Municipios;1599;Valdemaqueda;0;0;0;0;0;0;0;0;0;0;
Municipios;1603;Valdemorillo;1;1;0;0;0;1;1;0;0;0;
Municipios;1610;Valdemoro;6;6;5;6;7;3;4;5;4;3;
Municipios;1625;Valdeolmos-Alalpardo;2;2;1;1;1;1;1;1;1;1;
Municipios;1631;Valdepiélagos;0;0;0;0;0;0;0;0;0;0;
Municipios;1646;Valdetorres de Jarama;0;0;1;1;0;0;0;1;1;0;
Municipios;1659;Valdilecha;3;3;3;2;2;1;0;0;0;1;
Municipios;1662;Valverde de Alcalá;0;0;0;0;0;0;0;0;0;0;
Municipios;1678;Velilla de San Antonio;3;2;2;3;1;1;2;2;2;1;
Municipios;1684;Vellón (El);0;0;0;0;0;0;0;1;0;0;
Municipios;1697;Venturada;0;0;0;1;0;0;0;0;0;0;
Municipios;1718;Villa del Prado;2;2;1;1;0;0;0;2;2;1;
Municipios;1701;Villaconejos;1;0;2;2;3;1;0;1;0;1;
Municipios;1723;Villalbilla;3;2;3;3;2;2;2;2;4;4;
Municipios;1739;Villamanrique de Tajo;0;0;0;0;0;0;0;0;0;0;
Municipios;1744;Villamanta;1;2;0;0;0;0;0;0;0;0;
Municipios;1757;Villamantilla;0;0;0;0;0;0;0;0;0;0;
Municipios;1782;Villanueva de Perales;0;0;0;0;0;1;0;0;0;1;
Municipios;1760;Villanueva de la Cañada;3;1;1;1;1;0;0;0;1;0;
Municipios;1776;Villanueva del Pardillo;0;1;0;1;2;2;1;1;0;0;
Municipios;1795;Villar del Olmo;0;1;0;0;0;0;0;1;0;0;
Municipios;1809;Villarejo de Salvanés;2;1;1;1;2;3;5;4;2;0;
Municipios;1816;Villaviciosa de Odón;5;5;0;0;0;1;1;2;0;1;
Municipios;1821;Villavieja del Lozoya;0;0;0;0;0;0;0;0;0;1;
Municipios;1837;Zarzalejo;0;0;0;0;0;1;0;0;0;0;
Municipios;9999;Sin municipio asignado;29;24;22;28;28;31;22;20;29;69;
Notas;
Fecha de referencia 1 de enero.;
;
El municipio de residencia según consta en la Seguridad Social.;
;
Sin municipio asignado: Incluye afiliados residentes en la Comunidad de Madrid de los que no consta municipio de residencia, Residentes fuera de la Comunidad de Madrid y No consta o no contesta el municipio de residencia.;
