Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de servicios a empresas y financieros. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1277;Rozas de Madrid (Las);22170;20025;20052;20609;23347;24002;25738;29063;28798;28806;23974;20053;19915;21355;23400;
Municipios;1283;Rozas de Puerto Real;-;-;-;-;-;-;5;27;37;24;33;23;25;5;5;
Municipios;1296;San Agustín del Guadalix;560;434;590;664;726;696;628;627;630;638;680;706;705;715;695;
Municipios;1300;San Fernando de Henares;4587;4454;4425;6060;5661;5038;5290;6384;6440;6626;6697;6183;4385;4230;4835;
Municipios;1317;San Lorenzo de El Escorial;472;505;569;515;503;545;613;592;599;626;598;595;600;615;610;
Municipios;1338;San Martín de Valdeiglesias;136;134;132;126;129;137;152;148;170;184;185;197;200;215;205;
Municipios;1322;San Martín de la Vega;619;643;607;586;674;640;565;529;413;420;397;425;415;430;415;
Municipios;1343;San Sebastián de los Reyes;13185;14166;14601;14470;13429;13878;14261;10778;12205;12233;12948;13105;13110;14310;16260;
Municipios;1356;Santa María de la Alameda;14;11;13;10;12;16;12;15;14;17;18;17;15;25;25;
Municipios;1369;Santorcaz;-;-;-;-;5;6;5;6;5;6;7;5;5;10;5;
Municipios;1375;Santos de la Humosa (Los);17;22;20;18;21;23;28;28;36;37;35;26;25;30;30;
Municipios;1381;Serna del Monte (La);-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1408;Serranillos del Valle;87;104;112;117;97;96;94;85;97;232;341;125;140;160;165;
Municipios;1415;Sevilla la Nueva;308;269;320;255;292;301;301;288;293;296;278;279;275;275;245;
Municipios;1436;Somosierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1441;Soto del Real;218;203;227;244;275;271;284;295;317;339;318;315;315;295;295;
Municipios;1454;Talamanca de Jarama;36;42;43;43;46;39;47;46;50;51;58;60;75;100;115;
Municipios;1467;Tielmes;18;15;15;18;17;23;23;21;29;30;30;34;35;30;30;
Municipios;1473;Titulcia;7;19;28;35;9;10;12;14;13;14;16;14;10;15;10;
Municipios;1489;Torrejón de Ardoz;4526;4318;4207;3932;3935;3937;4413;4556;5320;4927;5109;5321;5485;5760;5935;
Municipios;1505;Torrejón de Velasco;89;124;95;102;59;57;63;73;66;66;76;68;45;45;50;
Municipios;1492;Torrejón de la Calzada;190;202;209;181;224;230;223;268;253;305;347;357;350;290;325;
Municipios;1512;Torrelaguna;94;103;88;113;69;71;75;78;81;79;73;71;90;85;85;
Municipios;1527;Torrelodones;1137;1182;1118;1115;1119;1224;1254;1282;1379;1479;1597;1526;1675;1675;1535;
Municipios;1533;Torremocha de Jarama;82;33;18;10;10;11;13;13;12;12;13;13;10;10;15;
Municipios;1548;Torres de la Alameda;129;123;124;125;114;133;131;115;115;113;141;143;145;145;155;
Municipios;9036;Tres Cantos;14187;15176;13339;13816;12994;13603;14651;15754;17721;18935;19328;19297;20345;21215;20860;
Municipios;1551;Valdaracete;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1564;Valdeavero;28;23;28;23;24;27;24;25;32;33;28;33;30;35;30;
Municipios;1570;Valdelaguna;-;6;7;7;8;6;6;-;5;6;-;6;5;5;5;
Municipios;1586;Valdemanco;9;8;7;7;7;8;11;12;9;9;12;8;15;15;15;
Municipios;1599;Valdemaqueda;6;6;8;-;-;5;5;5;7;9;10;12;5;10;10;
Municipios;1603;Valdemorillo;497;477;465;507;548;508;523;551;605;653;635;561;600;615;625;
Municipios;1610;Valdemoro;1808;1919;1773;1750;1718;1886;2026;2112;2354;2375;2442;2308;2150;2310;2370;
Municipios;1625;Valdeolmos-Alalpardo;83;100;113;110;126;136;133;131;150;159;140;145;130;135;130;
Municipios;1631;Valdepiélagos;6;-;-;6;6;6;8;8;9;11;10;15;15;10;10;
Municipios;1646;Valdetorres de Jarama;122;100;112;102;80;87;101;113;117;122;117;114;115;135;140;
Municipios;1659;Valdilecha;45;41;56;44;41;42;40;39;40;42;46;53;60;70;55;
Municipios;1662;Valverde de Alcalá;5;6;8;-;-;-;5;-;-;21;21;-;20;25;30;
Municipios;1678;Velilla de San Antonio;361;359;335;322;351;391;388;390;399;412;439;454;410;395;390;
Municipios;1684;Vellón (El);17;17;20;17;18;19;19;21;25;24;23;33;35;25;25;
Municipios;1697;Venturada;68;79;65;67;66;76;71;76;77;82;109;118;110;110;130;
Municipios;1718;Villa del Prado;61;66;58;58;55;56;58;57;64;67;67;74;65;75;90;
Municipios;1701;Villaconejos;45;42;41;34;36;28;18;22;20;22;28;31;30;30;30;
Municipios;1723;Villalbilla;492;442;305;331;377;364;353;358;383;419;436;427;430;455;475;
Municipios;1739;Villamanrique de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1744;Villamanta;99;48;38;35;25;29;31;25;33;29;28;26;85;85;65;
Municipios;1757;Villamantilla;13;24;18;12;13;21;25;31;25;23;26;33;50;50;50;
Municipios;1782;Villanueva de Perales;24;26;24;21;23;22;29;28;30;33;30;29;25;30;30;
Municipios;1760;Villanueva de la Cañada;1033;1024;1177;1253;1419;1559;1060;1107;1255;1314;1395;1473;1455;1455;1525;
Municipios;1776;Villanueva del Pardillo;656;664;709;657;677;705;743;796;875;921;860;853;745;780;775;
Municipios;1795;Villar del Olmo;46;43;44;37;35;46;52;54;59;67;74;76;80;70;75;
Municipios;1809;Villarejo de Salvanés;87;84;79;80;74;95;90;117;108;105;99;117;105;110;100;
Municipios;1816;Villaviciosa de Odón;1576;1520;1436;1652;1547;1529;1770;1768;1909;1936;1803;1845;1740;1810;1995;
Municipios;1821;Villavieja del Lozoya;-;5;5;-;5;5;5;7;5;5;6;8;5;5;5;
Municipios;1837;Zarzalejo;11;11;13;17;20;21;21;20;24;27;28;31;40;40;35;
Municipios;9999;Sin municipio asignado;2125;2168;2218;2321;2476;2675;2680;2954;3131;3425;3470;3567;3430;3930;4415;
Notas;
Los datos se refieren a 31 de diciembre y el municipio es en el que se ubica  el centro de trabajo.;
;
Hasta el año 2020 "-": Dato <5. No se visualizan por secreto estadístico.;
;
A partir del año 2021: para asegurar el secreto estadístico todos los datos, excepto el total, están redondeados al múltiplo de 5 más cercano. Por esta razón, los totales no tienen por qué coincidir con la suma de su desagregación.;
