Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de otros servicios. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1603;Valdemorillo;446;416;455;525;530;535;575;583;584;677;735;712;840;945;945;
Municipios;1610;Valdemoro;3257;3274;3487;3987;4428;4627;5425;7061;8364;8554;12344;12264;16540;18400;18665;
Municipios;1625;Valdeolmos-Alalpardo;326;294;296;253;247;320;388;382;386;407;344;316;330;365;345;
Municipios;1631;Valdepiélagos;28;32;24;21;23;24;27;32;29;30;32;35;40;40;40;
Municipios;1646;Valdetorres de Jarama;140;161;160;157;165;171;188;196;196;201;196;189;195;245;200;
Municipios;1659;Valdilecha;62;60;52;54;53;56;65;67;65;68;66;69;80;75;75;
Municipios;1662;Valverde de Alcalá;15;17;12;7;6;10;9;11;11;9;8;11;5;20;15;
Municipios;1678;Velilla de San Antonio;348;372;379;387;370;375;409;425;420;458;480;464;515;625;595;
Municipios;1684;Vellón (El);50;40;36;35;37;41;42;44;40;38;43;42;45;50;50;
Municipios;1697;Venturada;112;120;117;124;127;157;141;152;148;139;162;157;155;160;195;
Municipios;1718;Villa del Prado;791;759;680;622;584;611;657;666;696;714;732;805;810;770;790;
Municipios;1701;Villaconejos;61;71;81;89;119;109;104;101;96;90;91;92;90;95;100;
Municipios;1723;Villalbilla;473;473;484;558;558;615;634;670;669;738;761;753;850;900;880;
Municipios;1739;Villamanrique de Tajo;19;42;34;17;17;16;18;22;26;22;26;35;30;25;30;
Municipios;1744;Villamanta;124;153;167;145;147;161;154;160;165;178;177;210;205;210;190;
Municipios;1757;Villamantilla;60;73;63;58;37;68;51;64;60;71;71;66;70;85;60;
Municipios;1782;Villanueva de Perales;140;280;306;223;223;287;312;346;346;331;354;89;90;100;105;
Municipios;1760;Villanueva de la Cañada;2596;2743;2725;2971;3094;3133;3267;3356;3400;3470;3613;3692;3995;4370;4960;
Municipios;1776;Villanueva del Pardillo;953;989;983;1051;1093;1073;1132;1178;1166;1248;1356;1291;1300;1480;1545;
Municipios;1795;Villar del Olmo;84;74;76;67;75;70;70;65;71;73;85;82;85;100;100;
Municipios;1809;Villarejo de Salvanés;339;334;345;345;353;378;375;384;310;311;302;296;305;280;315;
Municipios;1816;Villaviciosa de Odón;3078;3304;3313;3767;3859;3988;4077;4223;4213;4411;4460;4409;4725;5120;5455;
Municipios;1821;Villavieja del Lozoya;15;14;12;11;11;12;11;12;17;15;13;17;20;20;20;
Municipios;1837;Zarzalejo;60;62;51;49;34;31;35;39;58;43;59;63;75;75;115;
Municipios;9999;Sin municipio asignado;1498;1446;1488;1964;2440;2628;2625;2776;2929;3125;3247;3221;3300;3625;3960;
Notas;
Los datos se refieren a 31 de diciembre y el municipio es en el que se ubica  el centro de trabajo.;
;
Hasta el año 2020 "-": Dato <5. No se visualizan por secreto estadístico.;
;
A partir del año 2021: para asegurar el secreto estadístico todos los datos, excepto el total, están redondeados al múltiplo de 5 más cercano. Por esta razón, los totales no tienen por qué coincidir con la suma de su desagregación.;
